PID,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6
oGCDFhIyTb,QhnutPzhEX,CZsQj3YcN8,3CdXf2Ymm7,78FcvndvBA,bhErNVwPsD,Tpq9cLPW2F
akMKKz5lyx,s14bKV8PKF,bwJ7DYOVDT,,,,
FeWgJfsZPH,48w44a1YPy,fR0BRnrFl5,8LmM2zih03,Dkvg4eCzpY,pxKzlPMz5c,
pxKzlPMz5c,sowKyhlnj6,78FcvndvBA,NYFyiZZdfY,LFZjeuLVta,bhErNVwPsD,KwUaX2gNsS
Vv8B47Agbq,Dkvg4eCzpY,Iu0sA8ZEAa,G6To0ImEbh,WlKATMjLQe,i4vJjmRZQY,
eJe331ryXk,BJggKsXgPg,2dlpRh3CV4,GFMWmM9WgY,TCKr2E8qUx,1vAuewglpQ,Tpq9cLPW2F
LYnOGjg03C,DBg7PwKloR,kVSWiDXeCu,fGs9EHg5R3,BWWbrUdLg3,Iu0sA8ZEAa,g7G9WmY2Sc
ilnnrgmzY9,I72j5OS4yT,ZiHncP5wKW,HR47S7QiLB,8XR2XWSfga,bwJ7DYOVDT,axBKG5UF35
HR47S7QiLB,08JYVDNSVE,ilnnrgmzY9,BWWbrUdLg3,,,
WlKATMjLQe,Dkvg4eCzpY,i4vJjmRZQY,Iu0sA8ZEAa,kVSWiDXeCu,G6To0ImEbh,BWWbrUdLg3
BWWbrUdLg3,kVSWiDXeCu,WlKATMjLQe,LYnOGjg03C,MxMt6EH1xd,Dkvg4eCzpY,g8A5TAJoRd
AWL5enZhWi,bwJ7DYOVDT,s14bKV8PKF,CZsQj3YcN8,048vmQSGsT,akMKKz5lyx,FxNIeqFQeg
IgHkIMN2bo,mIYVJ2LC8E,7wWjbSiCNL,,,,
OD4PU2Ce2r,g7G9WmY2Sc,bwJ7DYOVDT,QhnutPzhEX,pRAdymXF7N,LFX7mYOwvb,
XoYNGBwzqv,048vmQSGsT,7IBqGSvpfX,lUzoyyl3C4,GkAdoHQ6lI,fR0BRnrFl5,zXBSJOzGIH
08JYVDNSVE,aFnFr8c1vl,QhnutPzhEX,zXBSJOzGIH,axBKG5UF35,HR47S7QiLB,MxMt6EH1xd
LFX7mYOwvb,hT1aAbxR0H,sowKyhlnj6,NYFyiZZdfY,KwUaX2gNsS,78FcvndvBA,bwJ7DYOVDT
aFnFr8c1vl,NONE,,,,,
78FcvndvBA,LFZjeuLVta,oGCDFhIyTb,QhnutPzhEX,bhErNVwPsD,JTgteZsRjX,NYFyiZZdfY
PAfhnhVBGM,IABO1KNL8O,I72j5OS4yT,ubqS1SS6Jo,9jYfO7YSVJ,JTgteZsRjX,3s1Fx54iRZ
Iu0sA8ZEAa,WlKATMjLQe,Dkvg4eCzpY,DBg7PwKloR,G6To0ImEbh,kVSWiDXeCu,LYnOGjg03C
g7G9WmY2Sc,g8A5TAJoRd,OD4PU2Ce2r,kVSWiDXeCu,2dlpRh3CV4,BWWbrUdLg3,LYnOGjg03C
G6To0ImEbh,Dkvg4eCzpY,Iu0sA8ZEAa,WlKATMjLQe,i4vJjmRZQY,kVSWiDXeCu,DBg7PwKloR
fGs9EHg5R3,BWWbrUdLg3,LYnOGjg03C,MxMt6EH1xd,08JYVDNSVE,axBKG5UF35,8orjsVIGPu
l4T5FFzYK7,m6laTLdiML,UVNVuDcncJ,axBKG5UF35,I72j5OS4yT,,
r4Dr0MMhWs,3s1Fx54iRZ,nwNWPEqkTW,4Rr6sT8IEU,Fjnc68aifX,,
YMINewuRD1,eJe331ryXk,8zEfOamIgP,1kojlOU0VJ,KwUaX2gNsS,Tpq9cLPW2F,nwNWPEqkTW
i4vJjmRZQY,WlKATMjLQe,Dkvg4eCzpY,G6To0ImEbh,BWWbrUdLg3,Iu0sA8ZEAa,kVSWiDXeCu
fGs9EHg5R3,NONE,,,,,
