"ID","Empathy_Factor","NegAffect_Factor","PosAffect_Factor","LifeSatTransf_Factor","Floor","Age","Gender_bin","Race_1","Race_2","Race_3","Race_4","Race_5","Race_6","Race_7","Race_8","Race_9","Race_cat","Major_recode","Major_BySchool","Rlgn","PolPrty","FinclAid","Born_bin","YearsUS","CtznStatus_bin","Siblings","FatherEd_recode","MotherEd_recode","FmlyIncome","FmlyStatus","IRI_PT","IRI_EC","IRI_PD","PosEmp_avg","LTES_avg","PSA_avg","IRQ_TN","IRQ_TP","IRQ_EN","IRQ_EP","IRQ_TOTAL","NTB_avg","SSS_Stnfrd","MCSDS_avg","PANAS_PosAvg","PANAS_NegAvg","BFI_e","BFI_a","BFI_c","BFI_n","BFI_o","NPI15_avg","BAS_reward","BAS_fun","BAS_drive","BAS_avg","BIS_avg","Loneliness_avg","SWLS_avg","SHS_avg","PSS_avg","STAI_MEAN","CESD_avg","HPS_avg","RSQ_avg","RSQ_Brood","RSQ_Ponder","Hlth_Time0","SleepHrs_Time0","Rested_Time0","Exercise_Time0","Alcohol_Time0","AlchAmt_Time0","dorm","time","inDegreeQ1","outDegreeFullQ1","outDegreeQ1","numReciprocalQ1","pageRankQ1","neighborhood2inQ1","neighborhood2outQ1","authorityScoreQ1","hubScoreQ1","betweennessCentralityQ1","closenessCentralityQ1","localClusteringCoefficientQ1","inDegreeQ2","outDegreeFullQ2","outDegreeQ2","numReciprocalQ2","pageRankQ2","neighborhood2inQ2","neighborhood2outQ2","authorityScoreQ2","hubScoreQ2","betweennessCentralityQ2","closenessCentralityQ2","localClusteringCoefficientQ2","inDegreeQ3","outDegreeFullQ3","outDegreeQ3","numReciprocalQ3","pageRankQ3","neighborhood2inQ3","neighborhood2outQ3","authorityScoreQ3","hubScoreQ3","betweennessCentralityQ3","closenessCentralityQ3","localClusteringCoefficientQ3","inDegreeQ4","outDegreeFullQ4","outDegreeQ4","numReciprocalQ4","pageRankQ4","neighborhood2inQ4","neighborhood2outQ4","authorityScoreQ4","hubScoreQ4","betweennessCentralityQ4","closenessCentralityQ4","localClusteringCoefficientQ4","inDegreeQ5","outDegreeFullQ5","outDegreeQ5","numReciprocalQ5","pageRankQ5","neighborhood2inQ5","neighborhood2outQ5","authorityScoreQ5","hubScoreQ5","betweennessCentralityQ5","closenessCentralityQ5","localClusteringCoefficientQ5","inDegreeQ6","outDegreeFullQ6","outDegreeQ6","numReciprocalQ6","pageRankQ6","neighborhood2inQ6","neighborhood2outQ6","authorityScoreQ6","hubScoreQ6","betweennessCentralityQ6","closenessCentralityQ6","localClusteringCoefficientQ6","inDegreeQ7","outDegreeFullQ7","outDegreeQ7","numReciprocalQ7","pageRankQ7","neighborhood2inQ7","neighborhood2outQ7","authorityScoreQ7","hubScoreQ7","betweennessCentralityQ7","closenessCentralityQ7","localClusteringCoefficientQ7","inDegreeQ8","outDegreeFullQ8","outDegreeQ8","numReciprocalQ8","pageRankQ8","neighborhood2inQ8","neighborhood2outQ8","authorityScoreQ8","hubScoreQ8","betweennessCentralityQ8","closenessCentralityQ8","localClusteringCoefficientQ8","inDegreeQ9","outDegreeFullQ9","outDegreeQ9","numReciprocalQ9","pageRankQ9","neighborhood2inQ9","neighborhood2outQ9","authorityScoreQ9","hubScoreQ9","betweennessCentralityQ9","closenessCentralityQ9","localClusteringCoefficientQ9","dormTimeInteraction","timeFactor","timeFactor01","timeFactor12","timeFactor02"
1,6.06,3.01,1.88,8.25,3,18,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,8,1,0,2,1,1,18,1,1,4,3,8,19.959,20.423,23.259,15.021,3.3721,1.8133,3.3524,8.3914,56.408,612.37,1210,236.39,3.0753,8.4592,0.60674,5.0482,0.4124,0.8425,4.0822,2.4225,1.2386,3.1123,1.8091,8.0554,2.8072,2.3552,4.1706,3.133,0.50401,23.531,7.7486,1.7345,0.63627,0.44709,0.36733,NA,NA,NA,7.2464,1.8718,0.69315,0.69315,0.69315,0,"TWinter",0,11,8,6,6,0.053354388846589,30,17,0.922000042785642,1,0.0213650351659401,0.0579064587973274,0.213235294117647,11,8,6,5,0.0541051010064995,27,12,0.87608720651357,1,0.0198520433814551,0.0599078341013825,0.227941176470588,4,4,3,1,0.034042891994844,11,11,0.00688571575032482,0.0240438656484382,0.0914089994972348,0.0586245772266065,0.142857142857143,1,6,4,1,0.0099512059014431,5,8,3.16703698742739e-06,1.07656256853166e-05,0.0663650075414781,0.0331844288449266,0.3,8,8,6,4,0.0386410619528586,17,18,0.0123103731541134,0.00929267700162551,0.116340930311519,0.138666666666667,0.164835164835165,5,4,3,2,0.0225614510878498,13,11,0.870402364248178,0.611738166944101,0.0101684263448969,0.0505836575875486,0.214285714285714,0,5,4,0,0.00359581847540595,1,13,3.82124783216275e-18,0.654264542445938,0,0.0489642184557439,0.166666666666667,4,5,3,1,0.0321351992750006,15,8,0.581823768198727,0.302425135576136,0.00855119825708061,0.0436241610738255,0.380952380952381,0,6,2,0,0.00722931826167272,1,5,0,0.176820822612152,0,0.0310077519379845,0,"TWinter.0","0","0",NA,"0"
2,6.43,4.81,1.75,5.82,2,18,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5,47,9,1,2,0,1,18,1,5,4,3,9,25.79,19.233,26.366,28.128,4.0492,3.4343,3.905,14.132,91.638,548.83,1341.4,301.65,4.9685,6.8221,0.30534,3.4076,1.1505,1.303,5.692,2.1671,2.5023,2.2775,0.76561,4.8938,3.3666,1.1018,2.8861,3.8674,1.41,14.703,3.839,1.8061,1.0021,0.56979,0.30627,NA,NA,NA,2.9153,1.9459,0.69315,0.69315,0.69315,1.7918,"TWinter",0,6,8,7,5,0.01955867459859,21,25,0.331771475315527,0.603185708525647,0.0386362862041595,0.0592930444697834,0.141025641025641,4,5,5,3,0.017037961414333,17,22,0.184737145552811,0.3358309746577,0.0467659247071012,0.062200956937799,0.166666666666667,2,2,1,1,0.0118875586301994,10,7,0.044676812006834,0.00982164438993093,0.00628456510809452,0.0588901472253681,0,3,3,2,2,0.0406012891655411,13,5,0.0113846385112946,5.3153323463883e-05,0.0460030165912519,0.0225890529973936,0,4,5,4,2,0.0206184545152131,12,15,0.00189478791454166,0.0028213959430384,0.147043071307777,0.141689373297003,0.178571428571429,3,5,2,0,0.0194131511742612,9,12,0.0367932515751258,0.0333345900811131,0.0722222222222222,0.0515873015873016,0.1,1,4,3,0,0.0170093790306026,7,12,0.00298730667224184,0.266422859898148,0.0621386375062846,0.0467625899280576,0.333333333333333,4,8,4,1,0.0119225677841676,10,12,0.498542867163745,0.402605349098808,0.0485671191553545,0.0449438202247191,0.214285714285714,0,2,1,0,0.00722931826167272,1,3,0,0.184716438271248,0,0.0302325581395349,NA,"TWinter.0","0","0",NA,"0"
3,6.14,2.55,2.25,9.99,3,19,0,NA,NA,NA,NA,1,NA,NA,NA,NA,5,6,1,0,2,1,1,19,1,1,3,2,8,19.959,18.048,26.366,13.475,3.8206,4.7077,3.462,5.6285,56.408,381.73,863.55,191.2,1.3935,8.4592,0.75622,5.301,0.26525,1.9745,4.0822,2.6801,0.86844,4.1388,0.91061,6.3804,5.2623,2.6868,4.7749,2.4388,0.62899,27.722,11.734,0.72904,0.51101,0.26009,0.48012,NA,NA,NA,7.2464,2.0794,1.7918,0.69315,0.69315,1.9459,"TWinter",0,11,8,6,5,0.0405492642162192,29,19,0.744156393984056,0.697975706541689,0.0516503544218476,0.058361391694725,0.169117647058824,13,8,6,5,0.05557828251729,28,17,0.809797435775896,0.870766370214778,0.0636393562864151,0.0610328638497653,0.175438596491228,4,1,0,0,0.0209185152001602,12,1,0.0175328386337133,0,0,0.0188679245283019,0,3,1,1,0,0.0111988085549098,6,5,7.78138667969904e-06,1.75771230804989e-06,0.0723981900452489,0.0271824359644537,0.166666666666667,6,3,1,1,0.0182433523782755,14,7,0.00641526673320486,0.00244609688600035,0.0171882855706385,0.123222748815166,0.19047619047619,5,3,3,1,0.0214669393093772,14,13,0.469711284491951,0.0784690950886251,0.0621732026143791,0.0516385302879841,0.0714285714285714,4,1,1,0,0.0127832254766708,11,4,0.675323622135174,0.047856770929256,0.00251382604323781,0.0450606585788562,0.2,5,1,1,1,0.0324086833602637,16,4,0.398913028609469,0.189173531597567,0.0308572146807441,0.0434782608695652,0.133333333333333,0,1,1,0,0.00722931826167272,1,3,0,0.0218531177742436,0,0.0300751879699248,NA,"TWinter.0","0","0",NA,"0"
4,6.89,3.89,2.05,5.86,2,18,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,47,9,4,3,1,1,18,1,1,2,2,8,25.79,26.424,26.366,21.427,2.9359,2.9075,3.5721,16.545,79.204,907.48,1341.4,333.41,2.633,3.77,0.60674,5.301,0.76537,1.7529,3.8656,3.2014,2.1245,2.8291,1.5046,6.3804,2.2854,1.7129,3.2349,4.1207,0.71001,27.722,4.3439,1.2129,0.9741,0.28673,0.46114,NA,NA,NA,7.2464,1.8718,0.69315,0.69315,0,0,"TWinter",0,6,8,7,6,0.0158166096426664,19,23,0.197463668552156,0.367481914706177,0.0619500545122717,0.0591581342434585,0.0641025641025641,5,6,5,4,0.02069005454485,15,16,0.116950258413727,0.0932551808378334,0.0428338001867414,0.0611045828437133,0.111111111111111,5,4,3,3,0.0273159935202588,13,8,0.137971157016785,0.0120184408286542,0.14096279537456,0.0645161290322581,0.0714285714285714,4,3,2,2,0.0616645225843025,12,3,4.80049236212842e-05,4.18760423013496e-05,0.0156485671191554,0.0196078431372549,0.0666666666666667,4,3,2,2,0.0209639956234863,13,4,0.00218278737698959,0.0002732582477208,0.0149148237383531,0.109704641350211,0.0666666666666667,5,4,3,3,0.0321769342523826,12,10,0.0617300537782141,0.0806627827236813,0.0511626445449975,0.0513326752221125,0.107142857142857,5,5,4,3,0.0759040357473622,20,9,0.395600762845297,0.18439848087031,0.0983785822021116,0.0458553791887125,0.0833333333333333,5,4,3,2,0.0143254980008933,12,12,0.308061862040612,0.150491382324196,0.0198466566113625,0.0448275862068966,0.178571428571429,0,2,2,0,0.00722931826167272,1,7,0,0.274951307162629,0,0.0315151515151515,0,"TWinter.0","0","0",NA,"0"
5,5.97,2.89,2.12,4.75,1,19,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,44,6,1,1,1,1,19,1,3,3,3,8,10.371,19.233,21.724,16.592,5.2332,2.6395,2.8118,9.7142,56.408,489.25,1086.7,232.19,2.4886,6.8221,0.38103,5.5583,0.18371,1.9745,5.2158,3.3329,0.96393,3.8401,2.4309,4.8938,1.8019,2.6868,3.2349,1.9998,0.74988,10.488,6.5452,0.55768,0.51101,0.31156,0.27441,NA,NA,NA,7.2464,1.9459,1.3863,0.69315,0,0,"TWinter",0,2,5,4,2,0.00681136297745745,8,15,0.0241363004886494,0.274917576125131,0.0201168929110106,0.0579064587973274,0.133333333333333,2,2,2,2,0.0161907638888636,8,6,0.00746543771506842,0.0358588565115898,0.0282805429864253,0.0584926884139483,0,2,1,1,1,0.0316915704781878,5,2,0.0170470638527561,0,0.0113122171945701,0.0192307692307692,0,2,1,1,1,0.0138780695367341,6,5,2.38572158968068e-05,1.61606420826512e-05,0.0116892911010558,0.0407204385277995,0,2,2,1,1,0.0329626611137952,6,2,0.000130195960459468,0,0.0139517345399698,0.0192307692307692,0,1,1,0,0,0.00732948930903478,6,1,0.0062048845177262,7.77218891907719e-18,0,0.0188679245283019,NA,1,2,1,1,0.0284523627025298,6,3,0.0289347054915079,0.0493263992508716,0,0.0434782608695652,0,2,1,0,0,0.00893169334238497,7,1,0.0504065992930782,5.39391075733002e-18,0,0.0188679245283019,0,0,0,0,0,0.00722931826167272,1,1,0,3.70335575148377e-17,0,0.0188679245283019,NA,"TWinter.0","0","0",NA,"0"
6,6.57,2.79,2.06,8.72,3,19,0,NA,1,NA,NA,NA,NA,NA,NA,NA,2,47,9,NA,2,0,1,18,1,1,4,4,NA,25.79,15.689,31.113,11.953,3.8206,2.7739,4.5827,12.898,67.451,679.94,1786,297.18,4.3168,5.2557,0.75622,2.7761,0.65934,2.6284,6.4297,2.1671,0.86844,2.9701,1.8859,4.2207,2.8072,2.0304,3.0587,2.897,0.86713,37.283,8.3745,0.72904,0.51101,0.31156,0.30627,NA,NA,NA,4.9286,2.0794,1.6094,0.69315,0,0,"TWinter",0,1,8,5,1,0.0104353913553572,13,17,0.0720275579754533,0.588453058633226,0.0212343484402308,0.0580357142857143,0.333333333333333,1,2,1,1,0.00759948302919766,9,8,0.0788174108152305,0.124751492975157,0,0.0572057205720572,0,1,3,1,1,0.00862892709791024,5,6,0.00110846998252456,0.00296014558828492,0,0.0543364681295716,0,1,0,0,0,0.0099512059014431,6,1,3.16703698736526e-06,3.43325256538239e-18,0,0.0188679245283019,NA,1,0,0,0,0.00716691619866486,9,1,0.00149388188008671,5.13331341337141e-18,0,0.0188679245283019,NA,1,2,0,0,0.00759001299947929,8,1,0.217605312271898,7.77218891907719e-18,0,0.0188679245283019,NA,1,1,0,0,0.00718257243284311,8,1,0.245415715472945,0,0,0.0188679245283019,NA,0,1,0,0,0.00307196762848006,1,1,2.91723586315036e-17,2.69695537866501e-18,0,0.0188679245283019,NA,0,0,0,0,0.00722931826167272,1,1,0,3.70335575148377e-17,0,0.0188679245283019,NA,"TWinter.0","0","0",NA,"0"
7,7.46,1.95,2.39,5.09,3,18,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4,37,4,0,3,0,1,18,1,2,4,3,8,19.959,26.424,31.113,6.1624,4.5147,2.6395,3.7936,5.6285,73.24,489.25,1341.4,228,3.0753,3.77,0.60674,4.5562,0.54254,2.8432,4.3022,3.9969,0.35252,1.8776,1.7326,8.0554,3.9627,2.0304,4.3685,2.2168,0.66972,16.285,6.5452,1.5894,0.57559,0.43102,0.20776,NA,NA,NA,7.2464,2.0794,1.3863,0.69315,0.69315,2.5649,"TWinter",0,3,6,3,3,0.0180850758341822,5,5,1.74789192381785e-06,8.3157767243743e-06,0,0.0235400633770937,0.2,1,5,2,1,0.011036739100439,6,5,0,0,0,0.0208,0.333333333333333,2,4,1,1,0.0394047941510511,7,3,0.0390419296274209,0.0891250631748679,0,0.0199769496734537,0.333333333333333,1,4,1,1,0.0148780542590722,5,4,0.00542076921139103,0.0998948830323756,0,0.0225694444444444,0,1,5,2,1,0.010287409860269,6,6,0.0563685694309777,0.0900302496996813,0,0.0236471123237835,0.333333333333333,1,4,1,1,0.0368389973851891,6,3,0.000741257854834962,0.0229683636794884,0,0.0196004523181304,0,0,4,1,0,0.00359581847540595,1,4,9.55311958040687e-19,0.0630618635524124,0,0.0463871543264942,NA,0,5,2,0,0.00307196762848006,1,6,5.83447172630072e-17,0.0951705809561216,0,0.0451781059947871,1,5,2,2,1,0.038282615149388,13,9,0.558715849800516,0.348880837395752,0.0105957767722474,0.0295286768881317,0.142857142857143,"TWinter.0","0","0",NA,"0"
8,5.17,3.33,1.41,5.49,2,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,47,9,0,2,0,1,18,1,1,4,4,9,25.79,16.866,17.204,18.183,3.5949,3.6936,3.1347,12.898,61.839,489.25,670.62,240.62,2.9264,6.8221,0.45648,2.1896,0.76537,0.60735,4.0822,2.1671,1.5819,2.6893,0.91061,4.2207,2.2854,1.1018,2.3909,2.2168,1.3064,10.488,4.3439,1.2899,0.79895,0.49043,0.25813,NA,NA,NA,4.9286,2.0794,1.7918,0,0,0,"TWinter",0,2,3,2,2,0.00766142276584189,7,9,0.0559370228551166,0.0530215624604798,0,0.0570801317233809,0.166666666666667,3,2,1,1,0.013782592398313,10,4,0.0493121047482869,0.0095842683129877,0.00300761330173095,0.0584269662921348,0.166666666666667,2,1,1,1,0.0117937943814143,4,4,0.00197165717780918,0.000398543186274136,0,0.0199846272098386,0.333333333333333,3,3,0,0,0.015951152820091,6,1,3.48166223406393e-06,2.5299696396382e-17,0,0.0188679245283019,0.333333333333333,3,4,3,3,0.0213205891732922,8,9,0.000756777268374581,0.000235685981432466,0.0529160382101559,0.117117117117117,0.0666666666666667,2,5,0,0,0.00671206698921911,4,1,0.130947214019677,1.55443778381544e-17,0,0.0188679245283019,1,2,2,1,0,0.00776892416775154,4,4,0.107035266414051,0,0.0133232780291604,0.0427280197206245,0,3,3,1,1,0.0180544905311836,9,6,0.170661532809825,0.0700169506785266,0.0594834087481146,0.0429397192402973,0.166666666666667,0,0,0,0,0.00722931826167272,1,1,0,3.70335575148377e-17,0,0.0188679245283019,NA,"TWinter.0","0","0",NA,"0"
9,5.18,4.72,1.86,5.18,2,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,29,3,2,2,0,0,16,1,1,4,4,8,19.959,19.233,15.728,26.428,2.5125,2.6395,2.9189,11.007,51.163,289.22,434.39,191.2,3.2257,5.2557,0.38103,3.8528,1.4121,0.8425,4.3022,3.8633,2.7133,2.5507,1.0571,8.0554,2.8072,3.7185,4.9835,4.1207,1.236,19.722,3.839,1.8061,1.2378,0.67344,0.27441,NA,NA,NA,4.9286,1.6094,0.69315,0,0.69315,1.3863,"TWinter",0,5,8,7,3,0.016759482132521,15,21,0.141027834397539,0.502881509557272,0.0670630431659843,0.0588901472253681,0.106060606060606,4,8,7,2,0.0163295277337486,11,20,0.0809193566868947,0.416304593801846,0.0780752335899395,0.0620525059665871,0.109090909090909,3,3,3,2,0.0240862469116059,4,4,0.00155508279436004,0.00273871466220334,0.00226244343891403,0.02,0.0666666666666667,2,4,4,1,0.0118842557886257,3,6,3.05432354693983e-07,8.57327862426176e-06,0.0196078431372549,0.0353982300884956,0.133333333333333,4,4,4,2,0.0206465156380999,11,13,0.000845914768041228,0.00266485139308397,0.116048289945349,0.126520681265207,0.0714285714285714,2,7,5,0,0.0127885950754531,6,10,0.0178899294990051,0.552886632907195,0.0438599798893917,0.0501446480231437,0.19047619047619,1,3,3,0,0.00933488061281668,8,6,0.158263801168578,0.346560834493531,0.0301659125188537,0.0452567449956484,0.166666666666667,4,5,5,1,0.0201443270210385,7,13,0.34241195674349,0.354395545624621,0.0664467068878833,0.0440677966101695,0.138888888888889,1,1,1,0,0.0123524026300793,4,2,0.0448481760766374,0.00291818784358973,0.0116892911010558,0.0192307692307692,0,"TWinter.0","0","0",NA,"0"
10,6.67,1.98,1.95,4.58,3,19,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,47,9,0,2,1,0,0,0,1,4,4,5,14.815,24.013,24.806,7.5593,3.3721,4.5828,3.5721,4.1662,23.888,248.41,434.39,126.43,1.9271,3.77,0.83069,4.317,0.09569,1.189,5.4523,3.8633,0.67052,3.2556,1.0571,6.3804,4.5948,2.6868,4.5699,2.2168,1.3411,19.722,5.4092,0.37995,0.7476,0.39597,0.25813,NA,NA,NA,7.2464,1.9459,1.7918,0.69315,0,0,"TWinter",0,7,8,5,3,0.0272107770380931,21,14,0.51497028918682,0.870625495019592,0.00976783711512218,0.0572057205720572,0.287878787878788,5,8,6,4,0.0239013146695505,19,14,0.334701126010149,0.769115299512167,0.0344345469345469,0.0595647193585338,0.254545454545455,4,1,0,0,0.0198606340656805,11,1,0.00812699414123789,0,0,0.0188679245283019,0.166666666666667,5,3,1,1,0.0415546420192177,11,3,1.2210736945803e-05,4.49061808438856e-06,0.00904977375565611,0.032,0.266666666666667,4,3,3,2,0.0246109471111472,13,10,0.0058762063825384,0.00434796744050551,0.030920060331825,0.124700239808153,0.285714285714286,5,8,4,3,0.0247473026021593,11,11,0.729344381370763,0.837562107376833,0.0296442936148819,0.0507317073170732,0.166666666666667,4,4,2,1,0.01364801240326,10,7,0.526948795590321,0.448209741616051,0.022341628959276,0.0455341506129597,0.133333333333333,4,8,4,0,0.0258951431720896,18,10,0.420070090240712,0.389760065654743,0.0192119155354449,0.0437342304457527,0.285714285714286,0,3,1,0,0.00722931826167272,1,6,0,0.222374822449699,0,0.0305522914218566,NA,"TWinter.0","0","0",NA,"0"
