StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
2018-11-25 14:01:59,2018-11-25 14:11:59,0,100,600,1,2018-11-25 14:11:59,B4GwtIPWEA,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,jde0LtXmui,QaBLfwCjtz,ORnEt9oGFG,sqe3lI93Us,RTkwouHacL,,jde0LtXmui,QaBLfwCjtz,Nv6B58pDzQ,,,,jde0LtXmui,7dUYGwkxk4,PKpZd7lFZi,,,,jde0LtXmui,,,,,,jde0LtXmui,ORnEt9oGFG,FmEtaLdyUP,MVj5KiRVic,RTkwouHacL,,7dUYGwkxk4,RTkwouHacL,jde0LtXmui,OgZz67fyqj,,,jde0LtXmui,7dUYGwkxk4,PKpZd7lFZi,,,,sqe3lI93Us,jde0LtXmui,OgZz67fyqj,QaBLfwCjtz,1PyAtD1gRL,,Nv6B58pDzQ,DVHOpKeyEt,NN7WP7qeQP,yO9lkWPQCC,,,jde0LtXmui,,,,,,sqe3lI93Us,1PyAtD1gRL,jde0LtXmui,,,,1PyAtD1gRL,OgZz67fyqj,QaBLfwCjtz,jde0LtXmui,8FFaAiwKcb,,23,20,22,22,22,23,24,22,20,23,20,23,19,19,19,19,4,2,2,4,1,5,1,4,1,1,4,1,1,4,36,Undergraduate Catholic Student Association,Other,,Track and Field,,,1,1
2018-11-25 14:06:35,2018-11-25 14:13:37,0,100,422,1,2018-11-25 14:13:37,eaZChV6Zzv,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,3hqUkuC5Qn,G2qsfXrosA,XzE2YEAeBB,SlopF1tw7Q,1PyAtD1gRL,DVHOpKeyEt,OgZz67fyqj,G2qsfXrosA,3hqUkuC5Qn,1PyAtD1gRL,DVHOpKeyEt,yO9lkWPQCC,7dUYGwkxk4,8FFaAiwKcb,SlopF1tw7Q,OgZz67fyqj,,,7dUYGwkxk4,3hqUkuC5Qn,jnK5jx7q06,,,,OgZz67fyqj,jnK5jx7q06,3hqUkuC5Qn,,,,7dUYGwkxk4,3hqUkuC5Qn,RTkwouHacL,,,,RTkwouHacL,DVHOpKeyEt,,,,,NONE,,,,,,NONE,,,,,,OgZz67fyqj,3hqUkuC5Qn,G2qsfXrosA,,,,1PyAtD1gRL,8FFaAiwKcb,,,,,1PyAtD1gRL,8FFaAiwKcb,OgZz67fyqj,,,,22,19,18,24,19,20,23,18,20,23,20,20,21,21,22,22,4,1,2,4,2,5,1,4,2,2,4,1,1,5,36,"Stanford Unmanned Aerial Vehicle Engineers, Entrepreneurs, & Enthusiasts",,,,,,1,1
2018-11-25 14:29:08,2018-11-25 14:43:21,0,100,852,1,2018-11-25 14:43:21,7WTyBtV0WF,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,1zOMoNHmg9,RTkwouHacL,,,,,1zOMoNHmg9,RTkwouHacL,,,,,1zOMoNHmg9,7dUYGwkxk4,,,,,NONE,,,,,,1zOMoNHmg9,,,,,,7dUYGwkxk4,,,,,,RTkwouHacL,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,QQfFuXBOBe,1PyAtD1gRL,jnK5jx7q06,,,,7mbIhjLfDt,OgZz67fyqj,2UK6dKygn0,f8wFyStuKA,09ezHFt2Bb,RTkwouHacL,22,21,19,24,22,24,22,23,22,22,21,23,21,20,21,20,5,2,1,3,1,3,2,5,2,2,4,1,1,3,35,Stanford Solar Car Project,None,None,,,,1,1
2018-11-25 14:48:49,2018-11-25 14:58:22,0,100,573,1,2018-11-25 14:58:23,QQfFuXBOBe,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,6jHJKaD4Cb,7mbIhjLfDt,yO9lkWPQCC,,,,6jHJKaD4Cb,7mbIhjLfDt,eaZChV6Zzv,1PyAtD1gRL,,,6jHJKaD4Cb,yO9lkWPQCC,,,,,yO9lkWPQCC,6jHJKaD4Cb,,,,,6jHJKaD4Cb,yO9lkWPQCC,,,,,6jHJKaD4Cb,yO9lkWPQCC,,,,,RTkwouHacL,,,,,,RTkwouHacL,8Ji9r6ATyR,7mbIhjLfDt,1PyAtD1gRL,6jHJKaD4Cb,yO9lkWPQCC,NONE,,,,,,6jHJKaD4Cb,7mbIhjLfDt,1PyAtD1gRL,,,,6jHJKaD4Cb,,,,,,6jHJKaD4Cb,1PyAtD1gRL,OgZz67fyqj,95dslV1gqt,8Ji9r6ATyR,7mbIhjLfDt,24,21,22,21,20,23,21,23,22,23,21,23,21,21,19,19,4,3,3,3,3,3,1,3,3,2,3,5,4,3,35,None,,,,,,1,1
2018-11-25 14:38:53,2018-11-25 14:59:00,0,100,1206,1,2018-11-25 14:59:00,vcM4I7ahKq,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,zCezlMpAcO,EZZAfoTzU5,QQfFuXBOBe,f8wFyStuKA,QaBLfwCjtz,6jHJKaD4Cb,zCezlMpAcO,QQfFuXBOBe,QaBLfwCjtz,7mbIhjLfDt,f8wFyStuKA,6jHJKaD4Cb,zCezlMpAcO,6jHJKaD4Cb,1PyAtD1gRL,QaBLfwCjtz,QQfFuXBOBe,EZZAfoTzU5,EZZAfoTzU5,7dUYGwkxk4,zCezlMpAcO,QQfFuXBOBe,QaBLfwCjtz,6jHJKaD4Cb,zCezlMpAcO,QQfFuXBOBe,7dUYGwkxk4,d3eaPDsH4T,EZZAfoTzU5,7mbIhjLfDt,7dUYGwkxk4,7mbIhjLfDt,6jHJKaD4Cb,QQfFuXBOBe,QaBLfwCjtz,zCezlMpAcO,QaBLfwCjtz,f8wFyStuKA,v62We6ItmL,1PyAtD1gRL,d3eaPDsH4T,6jHJKaD4Cb,f8wFyStuKA,ADOSSQSk8L,RTkwouHacL,3gEiO3Vvhw,Nv6B58pDzQ,QaBLfwCjtz,yO9lkWPQCC,09ezHFt2Bb,xQMrntmJiO,iltQcVLnHa,5vMCkzEp51,H5J3FP5lNK,zCezlMpAcO,EZZAfoTzU5,QQfFuXBOBe,QaBLfwCjtz,95dslV1gqt,7dUYGwkxk4,7dUYGwkxk4,6jHJKaD4Cb,QaBLfwCjtz,EZZAfoTzU5,ADOSSQSk8L,2UK6dKygn0,3gEiO3Vvhw,2t2sqsHVqv,1PyAtD1gRL,7mbIhjLfDt,6jHJKaD4Cb,QQfFuXBOBe,22,23,18,23,18,18,24,23,22,23,19,20,19,19,18,19,3,3,3,3,2,2,2,3,4,3,3,3,3,2,35,Other,None,None,University Singers,,,1,1
2018-11-25 15:46:13,2018-11-25 15:56:53,0,100,639,1,2018-11-25 15:56:53,8FFaAiwKcb,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,3hqUkuC5Qn,f8wFyStuKA,2UK6dKygn0,1PyAtD1gRL,Otj5ACG4Eq,3gEiO3Vvhw,3hqUkuC5Qn,f8wFyStuKA,2UK6dKygn0,ADOSSQSk8L,3gEiO3Vvhw,,3gEiO3Vvhw,f8wFyStuKA,2UK6dKygn0,6jHJKaD4Cb,,,3gEiO3Vvhw,,,,,,NONE,,,,,,f8wFyStuKA,ADOSSQSk8L,QaBLfwCjtz,jde0LtXmui,,,QaBLfwCjtz,95dslV1gqt,6jHJKaD4Cb,,,,f8wFyStuKA,6jHJKaD4Cb,QaBLfwCjtz,95dslV1gqt,KG9AbMggIn,,J3aYRG5EAA,,,,,,NONE,,,,,,2UK6dKygn0,,,,,,QaBLfwCjtz,2UK6dKygn0,ADOSSQSk8L,7mbIhjLfDt,d3eaPDsH4T,PKpZd7lFZi,23,20,19,24,22,18,23,23,21,24,20,19,21,21,21,20,4,2,2,3,3,4,4,3,3,4,3,1,3,3,35,None,None,None,,,,1,1
2018-11-25 16:35:37,2018-11-25 16:43:29,0,100,471,1,2018-11-25 16:43:29,jde0LtXmui,,33.5915985107421875,-117.6985015869140625,anonymous,EN,18,Nv6B58pDzQ,B4GwtIPWEA,FmEtaLdyUP,NN7WP7qeQP,ORnEt9oGFG,yO9lkWPQCC,Nv6B58pDzQ,NN7WP7qeQP,yO9lkWPQCC,,,,yO9lkWPQCC,Nv6B58pDzQ,,,,,None,,,,,,Nv6B58pDzQ,,,,,,NN7WP7qeQP,yO9lkWPQCC,Nv6B58pDzQ,,,,yO9lkWPQCC,Nv6B58pDzQ,,,,,Nv6B58pDzQ,,,,,,NONE,,,,,,None,,,,,,Nv6B58pDzQ,,,,,,1PyAtD1gRL,OgZz67fyqj,,,,,23,23,23,24,18,20,22,22,23,23,19,19,22,22,21,21,5,4,2,4,4,5,3,3,3,4,4,3,3,4,35,Asian American Student Association,"Stanford Unmanned Aerial Vehicle Engineers, Entrepreneurs, & Enthusiasts",Stanford Pre-Business Association,,,,1,1
2018-11-25 18:03:56,2018-11-25 18:15:07,0,100,671,1,2018-11-25 18:15:08,SlopF1tw7Q,,37.4235992431640625,-122.161895751953125,anonymous,EN,20,AokPyCa4Vf,iltQcVLnHa,G2qsfXrosA,fVMsYognoS,ZkLlaLrQkh,jnK5jx7q06,AokPyCa4Vf,iltQcVLnHa,G2qsfXrosA,fVMsYognoS,ZkLlaLrQkh,jnK5jx7q06,AokPyCa4Vf,iltQcVLnHa,G2qsfXrosA,fVMsYognoS,ZkLlaLrQkh,jnK5jx7q06,AokPyCa4Vf,,,,,,AokPyCa4Vf,iltQcVLnHa,,,,,AokPyCa4Vf,iltQcVLnHa,VcecqccyWX,,,,iltQcVLnHa,DFZonvMbYz,7mbIhjLfDt,,,,AokPyCa4Vf,iltQcVLnHa,,,,,09ezHFt2Bb,,,,,,AokPyCa4Vf,iltQcVLnHa,,,,,iltQcVLnHa,jnK5jx7q06,1PyAtD1gRL,,,,1PyAtD1gRL,KG9AbMggIn,,,,,23,22,23,24,23,24,23,23,23,23,23,23,21,21,21,21,4,2,2,4,3,4,2,4,2,2,4,2,4,5,36,CS+Social Good,,,,,,1,1
2018-11-25 21:12:58,2018-11-25 21:20:00,0,100,421,1,2018-11-25 21:20:00,ZkLlaLrQkh,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,Otj5ACG4Eq,Nv6B58pDzQ,SlopF1tw7Q,J3aYRG5EAA,RTkwouHacL,,iltQcVLnHa,,,,,,7dUYGwkxk4,,,,,,NONE,,,,,,iltQcVLnHa,,,,,,NONE,,,,,,xQMrntmJiO,,,,,,Nv6B58pDzQ,,,,,,2UK6dKygn0,,,,,,iltQcVLnHa,,,,,,2UK6dKygn0,,,,,,7mbIhjLfDt,2UK6dKygn0,iltQcVLnHa,1PyAtD1gRL,,,23,22,18,23,20,23,22,21,20,23,21,21,20,19,21,20,3,2,2,2,3,2,2,3,2,2,4,2,2,4,35,Film Society,,,,,,1,1
2018-11-25 21:14:13,2018-11-25 21:22:58,0,100,524,1,2018-11-25 21:22:58,DFZonvMbYz,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,f6EpLOm0M4,Nv6B58pDzQ,RTkwouHacL,DVHOpKeyEt,,,f6EpLOm0M4,Nv6B58pDzQ,,,,,f6EpLOm0M4,cUTstkQBzc,,,,,f6EpLOm0M4,,,,,,f6EpLOm0M4,RTkwouHacL,Nv6B58pDzQ,DVHOpKeyEt,cUTstkQBzc,,f6EpLOm0M4,DVHOpKeyEt,RTkwouHacL,,,,DVHOpKeyEt,f6EpLOm0M4,RTkwouHacL,cUTstkQBzc,,,Nv6B58pDzQ,DVHOpKeyEt,f6EpLOm0M4,cUTstkQBzc,,,09ezHFt2Bb,3gEiO3Vvhw,,,,,DVHOpKeyEt,Nv6B58pDzQ,f6EpLOm0M4,,,,1PyAtD1gRL,iltQcVLnHa,RTkwouHacL,,,,Nv6B58pDzQ,RTkwouHacL,QQfFuXBOBe,7mbIhjLfDt,,,23,22,20,24,20,23,23,21,20,23,19,23,21,21,21,21,2,4,3,2,5,2,4,2,4,4,2,4,4,2,33,Stanford Womens Ultimate,Singaporeans at Stanford,Other,FACES,,,1,1
