StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
2018-11-25 14:04:10,2018-11-25 14:14:18,0,100,607,1,2018-11-25 14:14:18,oGCDFhIyTb,,33.448394775390625,-112.07399749755859375,anonymous,EN,18,QhnutPzhEX,CZsQj3YcN8,3CdXf2Ymm7,78FcvndvBA,bhErNVwPsD,Tpq9cLPW2F,QhnutPzhEX,CZsQj3YcN8,78FcvndvBA,bhErNVwPsD,Tpq9cLPW2F,3CdXf2Ymm7,QhnutPzhEX,bhErNVwPsD,Tpq9cLPW2F,3CdXf2Ymm7,,,QhnutPzhEX,pRAdymXF7N,7wWjbSiCNL,bhErNVwPsD,Tpq9cLPW2F,,QhnutPzhEX,CZsQj3YcN8,3CdXf2Ymm7,Tpq9cLPW2F,bhErNVwPsD,78FcvndvBA,QhnutPzhEX,Tpq9cLPW2F,bhErNVwPsD,78FcvndvBA,8LmM2zih03,3CdXf2Ymm7,Tpq9cLPW2F,bhErNVwPsD,QhnutPzhEX,8LmM2zih03,78FcvndvBA,,78FcvndvBA,Tpq9cLPW2F,QhnutPzhEX,bhErNVwPsD,3CdXf2Ymm7,CZsQj3YcN8,NONE,,,,,,QhnutPzhEX,Tpq9cLPW2F,bhErNVwPsD,048vmQSGsT,,,bhErNVwPsD,78FcvndvBA,NYFyiZZdfY,8LmM2zih03,,,NYFyiZZdfY,8LmM2zih03,78FcvndvBA,pxKzlPMz5c,oVfUS3BYNH,Tpq9cLPW2F,23,23,19,24,20,21,22,23,20,23,21,21,20,21,21,21,4,2,4,3,4,1,1,4,3,2,3,3,1,4,35,Stanford Students in Applied Research,Stanford Social Entrepreneurial Students Association,Rabbit Hole VR,,,,2,2
2018-11-25 14:15:59,2018-11-25 14:23:20,0,100,440,1,2018-11-25 14:23:20,akMKKz5lyx,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,s14bKV8PKF,bwJ7DYOVDT,,,,,s14bKV8PKF,bwJ7DYOVDT,,,,,fR0BRnrFl5,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,7wWjbSiCNL,,,,,,23,21,21,23,20,20,22,18,18,24,18,21,20,20,20,20,1,5,4,1,4,1,4,1,5,4,1,5,5,1,32,Stanford Jazz Orchestra,Other,"Stand Up, D Comedy Club",ups,,,2,2
2018-11-25 14:17:11,2018-11-25 14:28:12,0,100,660,1,2018-11-25 14:28:13,FeWgJfsZPH,,37.6374053955078125,-122.0670013427734375,anonymous,EN,18,48w44a1YPy,fR0BRnrFl5,8LmM2zih03,Dkvg4eCzpY,pxKzlPMz5c,,48w44a1YPy,bwJ7DYOVDT,Dkvg4eCzpY,pxKzlPMz5c,pRAdymXF7N,fR0BRnrFl5,fR0BRnrFl5,i22qSCoaCj,pxKzlPMz5c,GN9q8MJknT,Vv8B47Agbq,,pRAdymXF7N,i22qSCoaCj,fR0BRnrFl5,7wWjbSiCNL,48w44a1YPy,8LmM2zih03,48w44a1YPy,Dkvg4eCzpY,pxKzlPMz5c,pRAdymXF7N,,,8LmM2zih03,DBg7PwKloR,MxMt6EH1xd,LYnOGjg03C,fR0BRnrFl5,pRAdymXF7N,8LmM2zih03,DBg7PwKloR,bhErNVwPsD,LYnOGjg03C,fR0BRnrFl5,i22qSCoaCj,pxKzlPMz5c,48w44a1YPy,LYnOGjg03C,DBg7PwKloR,WlKATMjLQe,Vv8B47Agbq,NONE,,,,,,48w44a1YPy,pRAdymXF7N,bwJ7DYOVDT,fR0BRnrFl5,,,pRAdymXF7N,8LmM2zih03,,,,,bwJ7DYOVDT,QhnutPzhEX,s14bKV8PKF,pRAdymXF7N,qDDNLI4Rka,zXBSJOzGIH,20,21,21,22,21,23,20,20,21,23,19,23,21,21,20,20,4,2,2,4,2,5,3,5,3,2,4,1,1,4,35,The Stanford Daily,KZSU 90.1 FM,,,,,2,2
2018-11-25 14:11:14,2018-11-25 14:30:27,0,100,1153,1,2018-11-25 14:30:27,pxKzlPMz5c,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,sowKyhlnj6,78FcvndvBA,NYFyiZZdfY,LFZjeuLVta,bhErNVwPsD,KwUaX2gNsS,sowKyhlnj6,NYFyiZZdfY,KwUaX2gNsS,78FcvndvBA,LFZjeuLVta,bhErNVwPsD,KwUaX2gNsS,8zEfOamIgP,3CdXf2Ymm7,IgHkIMN2bo,Tpq9cLPW2F,78FcvndvBA,NYFyiZZdfY,sowKyhlnj6,Tpq9cLPW2F,bhErNVwPsD,78FcvndvBA,oVfUS3BYNH,NYFyiZZdfY,78FcvndvBA,Tpq9cLPW2F,sowKyhlnj6,bhErNVwPsD,oVfUS3BYNH,78FcvndvBA,bhErNVwPsD,sowKyhlnj6,NYFyiZZdfY,Tpq9cLPW2F,LFZjeuLVta,bhErNVwPsD,Tpq9cLPW2F,NYFyiZZdfY,hT1aAbxR0H,pRAdymXF7N,78FcvndvBA,Tpq9cLPW2F,78FcvndvBA,LFZjeuLVta,bhErNVwPsD,sowKyhlnj6,NYFyiZZdfY,NONE,NONE,NONE,NONE,NONE,NONE,bhErNVwPsD,NYFyiZZdfY,78FcvndvBA,LFZjeuLVta,Tpq9cLPW2F,sowKyhlnj6,8zEfOamIgP,NYFyiZZdfY,bhErNVwPsD,3CdXf2Ymm7,Tpq9cLPW2F,KwUaX2gNsS,bwJ7DYOVDT,78FcvndvBA,NYFyiZZdfY,pRAdymXF7N,IgHkIMN2bo,oVfUS3BYNH,23,22,20,23,23,22,21,21,21,23,21,21,22,22,19,19,5,1,2,4,1,5,1,3,1,1,5,1,1,5,35,Asian Pacific American Medical Student Association,Stanford Dance Marathon,Other,Stanford Mens Rowing,,,2,2
2018-11-25 15:00:15,2018-11-25 15:10:34,0,100,619,1,2018-11-25 15:10:35,Vv8B47Agbq,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,Dkvg4eCzpY,Iu0sA8ZEAa,G6To0ImEbh,WlKATMjLQe,i4vJjmRZQY,,Dkvg4eCzpY,WlKATMjLQe,Iu0sA8ZEAa,i4vJjmRZQY,,,pRAdymXF7N,fR0BRnrFl5,Dkvg4eCzpY,WlKATMjLQe,,,pRAdymXF7N,fR0BRnrFl5,Dkvg4eCzpY,WlKATMjLQe,,,pRAdymXF7N,,,,,,WlKATMjLQe,Iu0sA8ZEAa,,,,,WlKATMjLQe,,,,,,WlKATMjLQe,Iu0sA8ZEAa,,,,,kVSWiDXeCu,,,,,,Dkvg4eCzpY,Iu0sA8ZEAa,WlKATMjLQe,i4vJjmRZQY,,,IABO1KNL8O,,,,,,pxKzlPMz5c,NYFyiZZdfY,bwJ7DYOVDT,,,,20,22,18,24,21,23,19,21,20,23,21,22,19,19,18,18,2,4,2,1,5,1,5,1,5,5,1,5,3,3,36,Jewish Student Association,None,None,,,,2,2
2018-11-25 15:07:59,2018-11-25 15:17:51,0,100,591,1,2018-11-25 15:17:52,eJe331ryXk,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,BJggKsXgPg,2dlpRh3CV4,GFMWmM9WgY,TCKr2E8qUx,1vAuewglpQ,Tpq9cLPW2F,BJggKsXgPg,TCKr2E8qUx,GFMWmM9WgY,2dlpRh3CV4,1vAuewglpQ,vCNkJU8MA8,7wWjbSiCNL,TCKr2E8qUx,vCNkJU8MA8,2dlpRh3CV4,BJggKsXgPg,IgHkIMN2bo,2dlpRh3CV4,BJggKsXgPg,vCNkJU8MA8,1vAuewglpQ,Tpq9cLPW2F,048vmQSGsT,2dlpRh3CV4,BJggKsXgPg,vCNkJU8MA8,1vAuewglpQ,TCKr2E8qUx,GFMWmM9WgY,7wWjbSiCNL,pRAdymXF7N,2dlpRh3CV4,BJggKsXgPg,1vAuewglpQ,vCNkJU8MA8,048vmQSGsT,1vAuewglpQ,7wWjbSiCNL,pRAdymXF7N,Tpq9cLPW2F,vCNkJU8MA8,BJggKsXgPg,TCKr2E8qUx,1vAuewglpQ,2dlpRh3CV4,GFMWmM9WgY,vCNkJU8MA8,None,,,,,,2dlpRh3CV4,BJggKsXgPg,TCKr2E8qUx,vCNkJU8MA8,Tpq9cLPW2F,048vmQSGsT,NONE,,,,,,JTgteZsRjX,oVfUS3BYNH,048vmQSGsT,vCNkJU8MA8,7wWjbSiCNL,Tpq9cLPW2F,23,22,19,24,19,20,23,22,22,23,21,21,21,19,21,20,5,1,2,4,1,5,1,5,1,1,5,1,1,5,36,MINT Magazine,,,,,,2,2
2018-11-25 15:01:01,2018-11-25 15:24:13,0,100,1391,1,2018-11-25 15:24:13,LYnOGjg03C,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,DBg7PwKloR,kVSWiDXeCu,fGs9EHg5R3,BWWbrUdLg3,Iu0sA8ZEAa,g7G9WmY2Sc,DBg7PwKloR,CZsQj3YcN8,BWWbrUdLg3,MxMt6EH1xd,g7G9WmY2Sc,kVSWiDXeCu,IgHkIMN2bo,7wWjbSiCNL,WlKATMjLQe,CZsQj3YcN8,oVfUS3BYNH,DBg7PwKloR,DBg7PwKloR,CZsQj3YcN8,G6To0ImEbh,Dkvg4eCzpY,7wWjbSiCNL,oVfUS3BYNH,DBg7PwKloR,aFnFr8c1vl,78FcvndvBA,kVSWiDXeCu,BWWbrUdLg3,WlKATMjLQe,DBg7PwKloR,WlKATMjLQe,CZsQj3YcN8,aFnFr8c1vl,g8A5TAJoRd,fGs9EHg5R3,oVfUS3BYNH,DBg7PwKloR,fGs9EHg5R3,g7G9WmY2Sc,WlKATMjLQe,Iu0sA8ZEAa,DBg7PwKloR,aFnFr8c1vl,MxMt6EH1xd,NYFyiZZdfY,oVfUS3BYNH,Iu0sA8ZEAa,BJggKsXgPg,IABO1KNL8O,eJe331ryXk,1kojlOU0VJ,,,Dkvg4eCzpY,bhErNVwPsD,78FcvndvBA,DBg7PwKloR,LFZjeuLVta,,bhErNVwPsD,4Rr6sT8IEU,oGCDFhIyTb,,,,oVfUS3BYNH,WlKATMjLQe,fR0BRnrFl5,NYFyiZZdfY,,8orjsVIGPu,22,22,18,24,18,23,22,20,23,21,19,20,19,20,18,19,5,2,4,2,3,5,2,1,2,5,2,1,1,4,35,Stanford In Government,Other,Other,Stanford Global Development Association,Stanford Intersect Journal,,2,2
2018-11-25 15:15:05,2018-11-25 15:25:11,0,100,606,1,2018-11-25 15:25:11,ilnnrgmzY9,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,I72j5OS4yT,ZiHncP5wKW,HR47S7QiLB,8XR2XWSfga,bwJ7DYOVDT,axBKG5UF35,HR47S7QiLB,ZiHncP5wKW,,,,,mIYVJ2LC8E,pRAdymXF7N,,,,,I72j5OS4yT,,,,,,I72j5OS4yT,ZiHncP5wKW,HR47S7QiLB,,,,I72j5OS4yT,ZiHncP5wKW,,,,,I72j5OS4yT,ZiHncP5wKW,,,,,I72j5OS4yT,ZiHncP5wKW,,,,,HR47S7QiLB,,,,,,HR47S7QiLB,,,,,,NONE,,,,,,oVfUS3BYNH,IABO1KNL8O,,,,,23,23,22,24,21,21,23,21,21,23,21,22,19,21,21,19,3,3,3,4,4,2,2,5,2,1,5,2,1,3,35,Other,,,Stanford Women's Swimming,,,2,2
2018-11-25 15:13:05,2018-11-25 15:28:13,0,100,907,1,2018-11-25 15:28:13,HR47S7QiLB,,37.5894927978515625,-122.0496978759765625,anonymous,EN,18,08JYVDNSVE,ilnnrgmzY9,BWWbrUdLg3,,,,08JYVDNSVE,ilnnrgmzY9,,,,,08JYVDNSVE,ilnnrgmzY9,mIYVJ2LC8E,fR0BRnrFl5,,,08JYVDNSVE,ilnnrgmzY9,,,,,08JYVDNSVE,ilnnrgmzY9,akMKKz5lyx,BWWbrUdLg3,LYnOGjg03C,oVfUS3BYNH,08JYVDNSVE,ilnnrgmzY9,mIYVJ2LC8E,IgHkIMN2bo,7wWjbSiCNL,fR0BRnrFl5,08JYVDNSVE,bwJ7DYOVDT,mIYVJ2LC8E,pRAdymXF7N,7wWjbSiCNL,fR0BRnrFl5,08JYVDNSVE,oVfUS3BYNH,pRAdymXF7N,bwJ7DYOVDT,ilnnrgmzY9,BWWbrUdLg3,HR47S7QiLB,,,,,,08JYVDNSVE,,,,,,Tpq9cLPW2F,,,,,,Tpq9cLPW2F,bwJ7DYOVDT,pRAdymXF7N,7wWjbSiCNL,oVfUS3BYNH,,23,22,20,24,21,21,23,21,21,23,20,21,20,20,20,20,4,4,4,3,4,4,4,3,4,3,4,3,1,3,34,"FLIP: First-Generation, Low-Income Partnership",None,None,,,,2,2
2018-11-25 15:18:49,2018-11-25 15:39:44,0,100,1254,1,2018-11-25 15:39:44,WlKATMjLQe,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,Dkvg4eCzpY,i4vJjmRZQY,Iu0sA8ZEAa,kVSWiDXeCu,G6To0ImEbh,BWWbrUdLg3,G6To0ImEbh,i4vJjmRZQY,Dkvg4eCzpY,Iu0sA8ZEAa,kVSWiDXeCu,BWWbrUdLg3,Dkvg4eCzpY,i4vJjmRZQY,G6To0ImEbh,DBg7PwKloR,fR0BRnrFl5,Iu0sA8ZEAa,Dkvg4eCzpY,i4vJjmRZQY,G6To0ImEbh,BWWbrUdLg3,Iu0sA8ZEAa,kVSWiDXeCu,i4vJjmRZQY,Dkvg4eCzpY,Iu0sA8ZEAa,kVSWiDXeCu,G6To0ImEbh,BWWbrUdLg3,i4vJjmRZQY,Dkvg4eCzpY,Iu0sA8ZEAa,kVSWiDXeCu,G6To0ImEbh,DBg7PwKloR,Dkvg4eCzpY,LYnOGjg03C,DBg7PwKloR,kVSWiDXeCu,Tpq9cLPW2F,BWWbrUdLg3,i4vJjmRZQY,Dkvg4eCzpY,G6To0ImEbh,Iu0sA8ZEAa,kVSWiDXeCu,BWWbrUdLg3,oGCDFhIyTb,2dlpRh3CV4,s14bKV8PKF,Vv8B47Agbq,IABO1KNL8O,sNSJE2oHmc,Dkvg4eCzpY,Iu0sA8ZEAa,kVSWiDXeCu,BWWbrUdLg3,LYnOGjg03C,i4vJjmRZQY,bhErNVwPsD,pRAdymXF7N,Dkvg4eCzpY,vnJJVYFL2o,CZsQj3YcN8,bwJ7DYOVDT,oGCDFhIyTb,KwUaX2gNsS,DBg7PwKloR,8LmM2zih03,bwJ7DYOVDT,Tpq9cLPW2F,19,23,19,24,18,20,19,22,21,23,20,21,21,21,22,22,5,1,4,5,3,4,2,5,3,3,5,2,1,5,35,None,None,None,,,,2,2
