StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudentGrp_Resp_1,StudentGrp_Resp_2,StudentGrp_Resp_3,Group_other_4,Group_other_5,Group_other_6,DID,NID
2018-11-25 14:00:43,2018-11-25 14:10:09,0,100,566,1,2018-11-25 14:10:10,tlEPecpT6G,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,pR4PZ4imOZ,SuwBrsLOd1,BdMK1pChJw,h2yn09VXH2,lAfPFlsD8f,7sb6LXSIoI,pR4PZ4imOZ,SuwBrsLOd1,BdMK1pChJw,lAfPFlsD8f,,,pR4PZ4imOZ,SuwBrsLOd1,BdMK1pChJw,,,,SuwBrsLOd1,BdMK1pChJw,pR4PZ4imOZ,,,,7sb6LXSIoI,SuwBrsLOd1,pR4PZ4imOZ,BdMK1pChJw,lAfPFlsD8f,gzMvr3oLnV,SuwBrsLOd1,pR4PZ4imOZ,BdMK1pChJw,gzMvr3oLnV,7sb6LXSIoI,lAfPFlsD8f,BdMK1pChJw,7sb6LXSIoI,SuwBrsLOd1,,,,SuwBrsLOd1,BdMK1pChJw,7sb6LXSIoI,lAfPFlsD8f,,,NONE,,,,,,SuwBrsLOd1,BdMK1pChJw,pR4PZ4imOZ,,,,SuwBrsLOd1,7sb6LXSIoI,,,,,lAfPFlsD8f,7sb6LXSIoI,,,,,23,22,19,24,19,21,23,22,21,22,19,21,21,20,20,20,5,1,3,5,1,4,1,5,1,2,5,1,1,5,36,Stanford Dance Marathon,Other,Other,Common Origins,She ++,,5,5
2018-11-25 14:02:27,2018-11-25 14:14:32,0,100,724,1,2018-11-25 14:14:32,uAKoPLZITf,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,LyoqotSy1C,XicY81sN67,iYFWRTHXLd,PVRXpdKXA2,ZeTPVfP3gk,,LyoqotSy1C,XicY81sN67,iYFWRTHXLd,PVRXpdKXA2,,,LyoqotSy1C,XicY81sN67,,,,,LyoqotSy1C,XicY81sN67,,,,,LyoqotSy1C,XicY81sN67,PVRXpdKXA2,iYFWRTHXLd,ZeTPVfP3gk,,LyoqotSy1C,XicY81sN67,,,,,LyoqotSy1C,XicY81sN67,iYFWRTHXLd,,,,LyoqotSy1C,XicY81sN67,iYFWRTHXLd,,,,PVRXpdKXA2,,,,,,XicY81sN67,LyoqotSy1C,,,,,XicY81sN67,LyoqotSy1C,,,,,LyoqotSy1C,XicY81sN67,iYFWRTHXLd,,,,23,23,21,23,21,21,23,21,21,21,21,21,21,21,18,18,4,1,4,2,4,4,2,1,4,4,4,4,4,3,34,None,None,None,,,,5,5
2018-11-25 14:01:19,2018-11-25 14:17:06,0,100,946,1,2018-11-25 14:17:06,8og3CYBzZm,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,DstYrHFZt9,mFJ71HQO5l,8rsekwqjFy,T3iNOulFja,lW8ZkmiGUN,kqPtAZZXbV,DstYrHFZt9,mFJ71HQO5l,kqPtAZZXbV,T3iNOulFja,8rsekwqjFy,d3LANq2wa9,DstYrHFZt9,4mjHjcseiq,mFJ71HQO5l,kqPtAZZXbV,1wEjhQBrKw,8rsekwqjFy,DstYrHFZt9,8rsekwqjFy,mFJ71HQO5l,4mjHjcseiq,Ys49IAhnXq,Ys49IAhnXq,DstYrHFZt9,mFJ71HQO5l,8rsekwqjFy,4mjHjcseiq,kqPtAZZXbV,,DstYrHFZt9,mFJ71HQO5l,8rsekwqjFy,T3iNOulFja,4mjHjcseiq,Ys49IAhnXq,mFJ71HQO5l,4mjHjcseiq,1wEjhQBrKw,8rsekwqjFy,DstYrHFZt9,lW8ZkmiGUN,DstYrHFZt9,4mjHjcseiq,kqPtAZZXbV,mFJ71HQO5l,8rsekwqjFy,T3iNOulFja,NONE,,,,,,DstYrHFZt9,mFJ71HQO5l,8rsekwqjFy,4mjHjcseiq,T3iNOulFja,,8rsekwqjFy,DstYrHFZt9,mFJ71HQO5l,,,,DstYrHFZt9,mFJ71HQO5l,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,7sb6LXSIoI,23,20,23,24,20,23,24,19,18,23,21,23,21,21,19,20,4,1,2,4,1,5,3,4,4,2,5,1,1,5,36,Rabbit Hole VR,Legacy Dance Team,Other,Common Origins,,,5,5
2018-11-25 14:28:41,2018-11-25 14:42:09,0,100,808,1,2018-11-25 14:42:09,oA0q2Po7xf,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,yfTJjVftmj,ax2ZMqAVsp,kqPtAZZXbV,TIqoZ2suOW,7sb6LXSIoI,XgbHYXbrWi,yfTJjVftmj,ax2ZMqAVsp,kqPtAZZXbV,7sb6LXSIoI,XgbHYXbrWi,TIqoZ2suOW,7sb6LXSIoI,ieKAbaIbqJ,8rsekwqjFy,nWMPROD5Yc,lAfPFlsD8f,,yfTJjVftmj,7sb6LXSIoI,ax2ZMqAVsp,CThI2R0ewP,kqPtAZZXbV,,yfTJjVftmj,7sb6LXSIoI,ax2ZMqAVsp,kqPtAZZXbV,TIqoZ2suOW,lAfPFlsD8f,7sb6LXSIoI,yfTJjVftmj,kqPtAZZXbV,ax2ZMqAVsp,lAfPFlsD8f,,lAfPFlsD8f,7sb6LXSIoI,kqPtAZZXbV,nWMPROD5Yc,huNYJkmsmM,3H9reqfpXw,kqPtAZZXbV,lAfPFlsD8f,3H9reqfpXw,yfTJjVftmj,7sb6LXSIoI,ax2ZMqAVsp,xlEtG92n42,89v5tXCVAy,dUxB0OMyGM,,,,7sb6LXSIoI,yfTJjVftmj,lAfPFlsD8f,,,,1o4xSIjveg,7sb6LXSIoI,op8ylvWbRU,gzcKYcsAhv,s4Bl0qrmiY,,3H9reqfpXw,lAfPFlsD8f,7sb6LXSIoI,1o4xSIjveg,64Y7y22rEk,C1SZ12HcDP,24,23,22,23,23,23,23,22,20,24,21,23,22,22,21,18,4,1,2,2,2,4,1,1,3,1,3,1,1,3,35,The Charles R. Blyth Fund,Stanford Club Sports,Other,Intramural Sports,,,5,5
2018-11-25 14:46:02,2018-11-25 14:53:55,0,100,473,1,2018-11-25 14:53:55,mFJ71HQO5l,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,Ys49IAhnXq,,,,,,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,8og3CYBzZm,lW8ZkmiGUN,,,,,8og3CYBzZm,DstYrHFZt9,T3iNOulFja,qwjw2OMYHs,lW8ZkmiGUN,8rsekwqjFy,23,20,20,22,19,23,23,21,21,23,21,23,20,20,21,21,4,2,4,2,4,4,4,3,3,2,2,1,1,2,35,Alliance Streetdance,None,None,,,,5,5
2018-11-25 14:33:21,2018-11-25 15:15:58,0,100,2556,1,2018-11-25 15:15:58,XicY81sN67,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,uAKoPLZITf,LyoqotSy1C,iYFWRTHXLd,7sb6LXSIoI,lW8ZkmiGUN,,uAKoPLZITf,LyoqotSy1C,iYFWRTHXLd,7sb6LXSIoI,lW8ZkmiGUN,,lW8ZkmiGUN,uAKoPLZITf,LyoqotSy1C,iYFWRTHXLd,,,LyoqotSy1C,uAKoPLZITf,lW8ZkmiGUN,,,,7sb6LXSIoI,LyoqotSy1C,uAKoPLZITf,lW8ZkmiGUN,iYFWRTHXLd,,uAKoPLZITf,LyoqotSy1C,lW8ZkmiGUN,uxOQXZBcOB,,,lW8ZkmiGUN,uxOQXZBcOB,IgAjERSXYM,nWMPROD5Yc,,,uxOQXZBcOB,IgAjERSXYM,nWMPROD5Yc,mFJ71HQO5l,3H9reqfpXw,iYFWRTHXLd,Ys49IAhnXq,dUxB0OMyGM,KK9quMhEGv,,,,uAKoPLZITf,LyoqotSy1C,iYFWRTHXLd,lW8ZkmiGUN,,,7sb6LXSIoI,qE7hQs4Yjh,1o4xSIjveg,nWMPROD5Yc,oA0q2Po7xf,,uxOQXZBcOB,iYFWRTHXLd,mqxstEqwVb,DstYrHFZt9,T3iNOulFja,,22,23,18,24,22,21,23,22,22,21,19,21,21,21,19,19,3,2,4,3,2,4,2,2,3,3,2,1,2,3,33,The Stanford Daily,None,None,,,,5,5
2018-11-25 14:58:01,2018-11-25 15:16:44,0,100,1122,1,2018-11-25 15:16:45,yvMU3B38rq,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,DstYrHFZt9,,,,,,7sb6LXSIoI,,,,,,23,23,21,24,21,23,20,19,23,23,19,23,22,22,22,22,5,4,3,5,2,5,4,5,4,1,5,3,1,3,36,Stanford Grappling Club,Kardinal Kink,Jujitsu Club,,,,5,5
2018-11-25 15:01:51,2018-11-25 15:17:25,0,100,933,1,2018-11-25 15:17:25,qwjw2OMYHs,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,mFJ71HQO5l,T3iNOulFja,lW8ZkmiGUN,DstYrHFZt9,8rsekwqjFy,8og3CYBzZm,mFJ71HQO5l,T3iNOulFja,lW8ZkmiGUN,DstYrHFZt9,8rsekwqjFy,8og3CYBzZm,mFJ71HQO5l,T3iNOulFja,lW8ZkmiGUN,DstYrHFZt9,8rsekwqjFy,8og3CYBzZm,mFJ71HQO5l,T3iNOulFja,lW8ZkmiGUN,DstYrHFZt9,8rsekwqjFy,8og3CYBzZm,mFJ71HQO5l,T3iNOulFja,lW8ZkmiGUN,,,,mFJ71HQO5l,T3iNOulFja,lW8ZkmiGUN,,,,mFJ71HQO5l,lW8ZkmiGUN,,,,,mFJ71HQO5l,lW8ZkmiGUN,,,,,Ys49IAhnXq,,,,,,mFJ71HQO5l,lW8ZkmiGUN,DstYrHFZt9,8og3CYBzZm,,,1o4xSIjveg,,,,,,uxOQXZBcOB,,,,,,24,19,20,24,18,24,24,20,23,23,18,23,22,22,21,18,5,1,3,4,1,5,1,5,1,2,3,1,1,5,36,Stanford Symphony Orchestra,Stanford Synapse: Brain Injury Support Group,Other,Chamber group (piano trio),,,5,5
2018-11-25 15:07:46,2018-11-25 15:26:08,0,100,1102,1,2018-11-25 15:26:09,lW8ZkmiGUN,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,qwjw2OMYHs,mFJ71HQO5l,T3iNOulFja,DstYrHFZt9,iYFWRTHXLd,mqxstEqwVb,iYFWRTHXLd,mqxstEqwVb,RunEBN2C6y,h18lnvVtk3,DstYrHFZt9,T3iNOulFja,ieKAbaIbqJ,mqxstEqwVb,T3iNOulFja,mFJ71HQO5l,qwjw2OMYHs,h18lnvVtk3,ieKAbaIbqJ,iYFWRTHXLd,mqxstEqwVb,,,,mqxstEqwVb,mFJ71HQO5l,iYFWRTHXLd,DstYrHFZt9,RunEBN2C6y,ieKAbaIbqJ,qwjw2OMYHs,mFJ71HQO5l,T3iNOulFja,ieKAbaIbqJ,iYFWRTHXLd,mqxstEqwVb,mqxstEqwVb,PVRXpdKXA2,ZeTPVfP3gk,E3N2MzFtLE,lAfPFlsD8f,SuwBrsLOd1,E3N2MzFtLE,mqxstEqwVb,qwjw2OMYHs,lAfPFlsD8f,8rsekwqjFy,7sb6LXSIoI,Ys49IAhnXq,xlEtG92n42,yfTJjVftmj,89v5tXCVAy,RunEBN2C6y,,mFJ71HQO5l,qwjw2OMYHs,mqxstEqwVb,ieKAbaIbqJ,DstYrHFZt9,E3N2MzFtLE,lAfPFlsD8f,RunEBN2C6y,XicY81sN67,mqxstEqwVb,SuwBrsLOd1,,7sb6LXSIoI,iYFWRTHXLd,mqxstEqwVb,4mjHjcseiq,ZeTPVfP3gk,uxOQXZBcOB,23,22,19,23,20,23,20,20,21,23,19,23,20,21,20,20,2,3,4,3,2,1,1,2,2,2,2,2,1,3,36,Stanford Bhangra Team,Jewish Student Association,,,,,5,5
2018-11-25 15:35:38,2018-11-25 15:43:18,0,100,460,1,2018-11-25 15:43:19,8rsekwqjFy,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,DstYrHFZt9,mFJ71HQO5l,8og3CYBzZm,lW8ZkmiGUN,PVRXpdKXA2,T3iNOulFja,DstYrHFZt9,mFJ71HQO5l,8og3CYBzZm,lW8ZkmiGUN,T3iNOulFja,qwjw2OMYHs,8og3CYBzZm,IgAjERSXYM,T3iNOulFja,CThI2R0ewP,,,8og3CYBzZm,CThI2R0ewP,IgAjERSXYM,,,,IgAjERSXYM,8og3CYBzZm,mFJ71HQO5l,T3iNOulFja,,,8og3CYBzZm,qwjw2OMYHs,T3iNOulFja,DstYrHFZt9,lW8ZkmiGUN,,PVRXpdKXA2,,,,,,8og3CYBzZm,mFJ71HQO5l,DstYrHFZt9,PVRXpdKXA2,,,3q32bPAiOw,,,,,,8og3CYBzZm,mFJ71HQO5l,DstYrHFZt9,qwjw2OMYHs,,,8og3CYBzZm,,,,,,uxOQXZBcOB,,,,,,23,19,20,24,19,23,22,19,21,23,19,22,21,21,21,21,4,2,2,5,1,4,2,4,2,1,4,2,1,5,35,TreeHacks,Sanskriti,Stanford Student Space Initiative,,,,5,5
