StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
2018-11-25 14:06:10,2018-11-25 14:15:35,0,100,565,1,2018-11-25 14:15:35,WsD6tSn8C6,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,4A1DllMDmj,liNLPX3r1W,Ow8s3l6Bcb,Nx80uLyhua,xvvuBXNmd4,IgqC2T1WUh,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,,,,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,jAzvaAsZkH,,,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,jAzvaAsZkH,,,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,,,,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,jAzvaAsZkH,,,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,jAzvaAsZkH,Ow8s3l6Bcb,,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,jAzvaAsZkH,Ow8s3l6Bcb,,NONE,,,,,,4A1DllMDmj,liNLPX3r1W,Nx80uLyhua,Ow8s3l6Bcb,,,4A1DllMDmj,Nx80uLyhua,,,,,vB6crDO5cV,nrgK5bxkip,Ok6MUZ0B4Y,6YEPHGx5zh,jAzvaAsZkH,DjmzTiI2kc,23,23,20,24,20,20,23,23,23,24,20,20,21,21,21,21,5,2,2,5,1,5,2,5,2,1,5,1,1,5,36,Cap and Gown,Stanford In Government,Stanford Alpine Ski Team,,,,7,7
2018-11-25 14:15:38,2018-11-25 14:23:54,0,100,495,1,2018-11-25 14:23:54,vgxlTMkQs5,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,ZcY7qMHMcU,OOR2RvZdaV,wJT5EPHqgO,PcUkOS4OKO,BW8IWyn95B,,ZcY7qMHMcU,OOR2RvZdaV,wJT5EPHqgO,,,,ZcY7qMHMcU,OOR2RvZdaV,,,,,OOR2RvZdaV,ZcY7qMHMcU,,,,,ZcY7qMHMcU,OOR2RvZdaV,,,,,ZcY7qMHMcU,,,,,,ZcY7qMHMcU,,,,,,ZcY7qMHMcU,,,,,,NONE,,,,,,ZcY7qMHMcU,OOR2RvZdaV,wJT5EPHqgO,,,,OOR2RvZdaV,,,,,,ZcY7qMHMcU,,,,,,23,21,20,23,21,20,22,23,21,23,19,21,21,21,19,19,3,4,5,2,4,3,4,2,5,3,2,4,2,3,34,None,None,None,,,,7,7
2018-11-25 14:17:33,2018-11-25 14:30:19,0,100,765,1,2018-11-25 14:30:19,bW4u9Egqjw,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,042ZdIdSw2,uwDjSkt7v1,FaE47O6FRb,8sHq3cvQs6,YlOvAY4U3j,IgqC2T1WUh,042ZdIdSw2,FaE47O6FRb,uwDjSkt7v1,,,,uwDjSkt7v1,DjmzTiI2kc,TmqidnHv1G,8sHq3cvQs6,y4dxQY1bhh,,042ZdIdSw2,8sHq3cvQs6,,,,,042ZdIdSw2,8sHq3cvQs6,DjmzTiI2kc,YlOvAY4U3j,yU93DdMVTZ,,042ZdIdSw2,DjmzTiI2kc,TmqidnHv1G,vB6crDO5cV,YlOvAY4U3j,yU93DdMVTZ,vB6crDO5cV,6YEPHGx5zh,jzWeNJLvK9,,,,042ZdIdSw2,vB6crDO5cV,yU93DdMVTZ,jzWeNJLvK9,6YEPHGx5zh,8sHq3cvQs6,hIQYr1tTaG,,,,,,042ZdIdSw2,uwDjSkt7v1,FaE47O6FRb,8sHq3cvQs6,IgqC2T1WUh,,NONE,,,,,,yU93DdMVTZ,vB6crDO5cV,4peXcQ93Zo,,,,22,23,21,24,19,23,22,20,23,22,21,23,20,20,22,22,4,2,2,4,1,3,2,4,2,2,4,1,1,4,36,Biomedical Engineering Society,Society of Latinx Engineers,Society for the Advancement of Chicano/Latinos and Native Americans in Science,,,,7,7
2018-11-25 14:40:36,2018-11-25 14:52:36,0,100,720,1,2018-11-25 14:52:37,SDx9gjfc8e,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,yuX2PeeEkT,UU2wZGEnoW,wC0AhLKJsh,AgF3mR8qA5,WsD6tSn8C6,Y2IXb3xDoO,yuX2PeeEkT,WsD6tSn8C6,AgF3mR8qA5,UU2wZGEnoW,Y2IXb3xDoO,,wC0AhLKJsh,yuX2PeeEkT,,,,,yuX2PeeEkT,,,,,,yuX2PeeEkT,wC0AhLKJsh,,,,,NONE,,,,,,NONE,,,,,,yuX2PeeEkT,UU2wZGEnoW,,,,,NJwHNpG88z,,,,,,yuX2PeeEkT,,,,,,NONE,,,,,,4peXcQ93Zo,yuX2PeeEkT,nxgESpwTLG,vB6crDO5cV,,,22,22,19,23,19,23,20,22,22,22,20,22,21,21,18,21,4,2,2,5,1,3,2,4,3,3,5,2,1,4,35,Stanford Taiko,Stanford Student Space Initiative,,,,,7,7
2018-11-25 14:55:40,2018-11-25 15:07:27,0,100,706,1,2018-11-25 15:07:27,IgqC2T1WUh,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,aq0hKCZXjp,6YEPHGx5zh,042ZdIdSw2,jAzvaAsZkH,hDc6hek1Qz,KUpFwzxFnQ,aq0hKCZXjp,6YEPHGx5zh,KUpFwzxFnQ,042ZdIdSw2,4QNeXv67yP,jzWeNJLvK9,6YEPHGx5zh,aq0hKCZXjp,hDc6hek1Qz,jAzvaAsZkH,042ZdIdSw2,,jAzvaAsZkH,6YEPHGx5zh,aq0hKCZXjp,hDc6hek1Qz,,,DbWr52P2Pz,aq0hKCZXjp,jAzvaAsZkH,6YEPHGx5zh,hDc6hek1Qz,042ZdIdSw2,aq0hKCZXjp,6YEPHGx5zh,KUpFwzxFnQ,042ZdIdSw2,mTz9TizpFL,UXSVGuzMw7,aq0hKCZXjp,jAzvaAsZkH,UXSVGuzMw7,WsD6tSn8C6,,,aq0hKCZXjp,jAzvaAsZkH,UXSVGuzMw7,TexdXLtPGj,4QNeXv67yP,WsD6tSn8C6,NONE,,,,,,aq0hKCZXjp,6YEPHGx5zh,jAzvaAsZkH,042ZdIdSw2,,,aq0hKCZXjp,UXSVGuzMw7,TexdXLtPGj,,,,4peXcQ93Zo,nrgK5bxkip,DjmzTiI2kc,jAzvaAsZkH,6CZ2Sun9iU,4QNeXv67yP,24,23,23,23,19,21,22,23,22,24,19,22,22,22,20,20,5,2,3,5,2,5,1,5,2,2,5,2,2,5,36,None,,,,,,7,7
2018-11-25 14:03:58,2018-11-25 15:48:57,0,100,6299,1,2018-11-25 15:48:58,4A1DllMDmj,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,WsD6tSn8C6,liNLPX3r1W,xvvuBXNmd4,WcEZKcxv1I,Ow8s3l6Bcb,,WsD6tSn8C6,liNLPX3r1W,xvvuBXNmd4,y5NMJOSpom,uCEbdb8Dcb,Y2IXb3xDoO,WsD6tSn8C6,liNLPX3r1W,Pf6KTNqs87,,,,WsD6tSn8C6,liNLPX3r1W,xvvuBXNmd4,,,,WsD6tSn8C6,WcEZKcxv1I,liNLPX3r1W,xvvuBXNmd4,,,WsD6tSn8C6,liNLPX3r1W,,,,,WsD6tSn8C6,,,,,,xvvuBXNmd4,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,23,23,21,24,20,21,23,23,23,23,21,21,20,20,20,20,5,2,4,4,4,4,2,4,3,4,3,1,1,4,36,Asia-Pacific Student Entreprenuership Society,Rabbit Hole VR,Society of Women Engineers,,,,7,7
2018-11-25 16:01:02,2018-11-25 16:11:48,0,100,646,1,2018-11-25 16:11:49,4QNeXv67yP,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,Ezp3FCCklW,WcEZKcxv1I,IgqC2T1WUh,PcUkOS4OKO,wJT5EPHqgO,jzWeNJLvK9,TexdXLtPGj,WcEZKcxv1I,PcUkOS4OKO,wJT5EPHqgO,jzWeNJLvK9,Ezp3FCCklW,Ezp3FCCklW,PcUkOS4OKO,TexdXLtPGj,wJT5EPHqgO,jzWeNJLvK9,IgqC2T1WUh,Ezp3FCCklW,WcEZKcxv1I,jzWeNJLvK9,PcUkOS4OKO,wJT5EPHqgO,IgqC2T1WUh,Ezp3FCCklW,WcEZKcxv1I,jzWeNJLvK9,PcUkOS4OKO,wJT5EPHqgO,6CZ2Sun9iU,Ezp3FCCklW,jzWeNJLvK9,WcEZKcxv1I,wJT5EPHqgO,PcUkOS4OKO,wC0AhLKJsh,Ezp3FCCklW,6CZ2Sun9iU,WcEZKcxv1I,jzWeNJLvK9,PcUkOS4OKO,wJT5EPHqgO,Ezp3FCCklW,PcUkOS4OKO,wJT5EPHqgO,jzWeNJLvK9,WcEZKcxv1I,uwDjSkt7v1,eFaemTygNF,nrgK5bxkip,,,,,Ezp3FCCklW,WcEZKcxv1I,jzWeNJLvK9,PcUkOS4OKO,wJT5EPHqgO,IgqC2T1WUh,Ezp3FCCklW,WcEZKcxv1I,jzWeNJLvK9,,,,Pf6KTNqs87,4peXcQ93Zo,NJwHNpG88z,nxgESpwTLG,,,23,23,21,23,22,19,22,23,21,24,21,21,20,20,20,20,4,2,4,4,3,4,1,4,2,1,4,1,1,4,36,The Stanford Happiness Collective,None,None,,,,7,7
2018-11-25 16:18:26,2018-11-25 16:32:15,0,100,828,1,2018-11-25 16:32:15,uwDjSkt7v1,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,4peXcQ93Zo,y4dxQY1bhh,hDc6hek1Qz,Pf6KTNqs87,vB6crDO5cV,042ZdIdSw2,4peXcQ93Zo,hDc6hek1Qz,Pf6KTNqs87,y4dxQY1bhh,vB6crDO5cV,042ZdIdSw2,hDc6hek1Qz,DjmzTiI2kc,Pf6KTNqs87,4peXcQ93Zo,y4dxQY1bhh,jAzvaAsZkH,hDc6hek1Qz,Pf6KTNqs87,DjmzTiI2kc,4peXcQ93Zo,y4dxQY1bhh,jAzvaAsZkH,4peXcQ93Zo,y4dxQY1bhh,hDc6hek1Qz,Pf6KTNqs87,IgqC2T1WUh,042ZdIdSw2,y4dxQY1bhh,Rp96MMYpzv,Pf6KTNqs87,hDc6hek1Qz,oPha6QvQls,042ZdIdSw2,oPha6QvQls,WsD6tSn8C6,Nx80uLyhua,y4dxQY1bhh,hDc6hek1Qz,Pf6KTNqs87,4peXcQ93Zo,6CZ2Sun9iU,nrgK5bxkip,Rp96MMYpzv,y4dxQY1bhh,042ZdIdSw2,NONE,,,,,,4peXcQ93Zo,y4dxQY1bhh,042ZdIdSw2,hDc6hek1Qz,Pf6KTNqs87,vB6crDO5cV,nrgK5bxkip,4peXcQ93Zo,Rp96MMYpzv,hIQYr1tTaG,,,vB6crDO5cV,Ok6MUZ0B4Y,WsD6tSn8C6,nxgESpwTLG,,,23,24,22,24,22,24,20,22,23,23,19,23,20,21,21,22,4,2,3,5,1,4,1,5,2,1,4,1,1,5,36,Leland Stanford Junior University Marching Band,,,,,,7,7
2018-11-25 16:27:07,2018-11-25 16:33:23,0,100,375,1,2018-11-25 16:33:23,FzNLACFvU6,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,NONE,,,,,,NONE,,,,,,NONE,,,,,,TmqidnHv1G,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,19,22,18,24,18,23,19,19,24,21,21,21,22,20,20,20,5,1,1,5,1,1,1,5,1,1,3,1,1,4,36,Leland Stanford Junior University Marching Band,Students for a Sustainable Stanford,The Stanford Bicycle Project,,,,7,7
2018-11-25 16:18:04,2018-11-25 16:40:21,0,100,1337,1,2018-11-25 16:40:22,ZcY7qMHMcU,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,vgxlTMkQs5,wJT5EPHqgO,OOR2RvZdaV,PcUkOS4OKO,BW8IWyn95B,,vgxlTMkQs5,OOR2RvZdaV,wJT5EPHqgO,BW8IWyn95B,PcUkOS4OKO,,vgxlTMkQs5,OOR2RvZdaV,PcUkOS4OKO,wJT5EPHqgO,BW8IWyn95B,0vvS98VDrI,vgxlTMkQs5,OOR2RvZdaV,wJT5EPHqgO,PcUkOS4OKO,BW8IWyn95B,,wJT5EPHqgO,OOR2RvZdaV,vgxlTMkQs5,PcUkOS4OKO,BW8IWyn95B,,OOR2RvZdaV,wJT5EPHqgO,PcUkOS4OKO,BW8IWyn95B,vgxlTMkQs5,,wJT5EPHqgO,PcUkOS4OKO,BW8IWyn95B,OOR2RvZdaV,vgxlTMkQs5,,wJT5EPHqgO,OOR2RvZdaV,vgxlTMkQs5,PcUkOS4OKO,BW8IWyn95B,,NONE,,,,,,vgxlTMkQs5,OOR2RvZdaV,wJT5EPHqgO,,,,wJT5EPHqgO,,,,,,uwDjSkt7v1,,,,,,23,23,21,24,20,21,20,22,21,21,21,21,22,21,21,21,4,2,2,4,1,5,2,3,1,1,4,1,1,4,35,Stanford Alpine Ski Team,None,None,,,,7,7
