StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
11/25/18 14:00,11/25/18 14:06,0,100,397,1,11/25/18 14:06,qDXCqweACZ,,37.42359924,-122.1618958,anonymous,EN,19,vCNkJU8MA8,FwhkwLZtDZ,VQuVn5JLJw,BTGfF4BU0v,bRVecV2WIK,pvlWPIXhgP,vCNkJU8MA8,,,,,,vCNkJU8MA8,pvlWPIXhgP,BTGfF4BU0v,VQuVn5JLJw,,,vCNkJU8MA8,VQuVn5JLJw,FwhkwLZtDZ,pvlWPIXhgP,,,vCNkJU8MA8,FwhkwLZtDZ,pvlWPIXhgP,VQuVn5JLJw,,,vCNkJU8MA8,VQuVn5JLJw,FwhkwLZtDZ,pvlWPIXhgP,bRVecV2WIK,BTGfF4BU0v,vCNkJU8MA8,pvlWPIXhgP,,,,,vCNkJU8MA8,FwhkwLZtDZ,pvlWPIXhgP,VQuVn5JLJw,bRVecV2WIK,BTGfF4BU0v,NONE,,,,,,vCNkJU8MA8,FwhkwLZtDZ,VQuVn5JLJw,,,,NONE,,,,,,5BupAUW3dM,,,,,,22,23,21,24,18,24,21,21,21,23,21,23,21,21,22,22,5,1,3,4,3,5,2,4,3,3,4,1,1,5,35,PASU,WYSE,,,,,11,11
11/25/18 14:02,11/25/18 14:10,0,100,474,1,11/25/18 14:10,M9obKkDvc0,,37.42359924,-122.1618958,anonymous,EN,18,LtApNnKQGl,ONQOsoRNNV,pKpFRWYIN4,4nvKhdPByv,BHYvhY9zbm,,4nvKhdPByv,BHYvhY9zbm,,,,,4nvKhdPByv,BHYvhY9zbm,,,,,4nvKhdPByv,BHYvhY9zbm,,,,,LtApNnKQGl,4nvKhdPByv,BHYvhY9zbm,,,,4nvKhdPByv,,,,,,4nvKhdPByv,BHYvhY9zbm,,,,,4nvKhdPByv,,,,,,gpDzTcBZpg,,,,,,4nvKhdPByv,BHYvhY9zbm,LtApNnKQGl,,,,4nvKhdPByv,,,,,,4nvKhdPByv,,,,,,24,18,18,24,18,24,22,19,19,23,21,23,21,20,20,20,3,3,2,3,3,4,4,2,4,4,3,3,3,4,35,Stanford daily,International undergraduate community IUC,,,,,11,11
11/25/18 14:04,11/25/18 14:15,0,100,613,1,11/25/18 14:15,9MMgKlFO68,,37.42359924,-122.1618958,anonymous,EN,21,4pSDMaYwj7,1sbJu8oj4o,fIkyo3ls9D,LG7ABOqpGd,xDLnPFuxSL,,4pSDMaYwj7,1sbJu8oj4o,fIkyo3ls9D,,,,fIkyo3ls9D,4pSDMaYwj7,,,,,NONE,,,,,,fIkyo3ls9D,4pSDMaYwj7,1sbJu8oj4o,,,,4pSDMaYwj7,1sbJu8oj4o,,,,,4pSDMaYwj7,1sbJu8oj4o,,,,,4pSDMaYwj7,1sbJu8oj4o,,,,,NONE,,,,,,fIkyo3ls9D,,,,,,NONE,,,,,,NONE,,,,,,23,23,20,24,21,21,19,22,22,23,19,21,18,19,19,19,3,2,2,5,1,3,1,4,1,2,4,2,2,2,33,Dance,UCAA,,,,,11,11
11/25/18 14:13,11/25/18 14:19,0,100,363,1,11/25/18 14:19,AWi19LIODs,,47.66329956,-122.3022003,anonymous,EN,21,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,NONE,,,,,,JJzwUKQCEW,,,,,,JJzwUKQCEW,,,,,,NONE,,,,,,24,20,21,23,23,23,19,23,19,23,19,21,22,21,20,19,5,2,4,3,3,3,2,4,3,3,3,2,2,3,36,Other,Other,,Society for International Affairs at Stanford,Traveling Trees,,12,11
11/25/18 16:01,11/25/18 16:10,0,100,578,1,11/25/18 16:10,vCNkJU8MA8,,37.42359924,-122.1618958,anonymous,EN,18,FwhkwLZtDZ,pvlWPIXhgP,qDXCqweACZ,VQuVn5JLJw,aBhj6OFcIm,604eePRx0Q,qDXCqweACZ,FwhkwLZtDZ,VQuVn5JLJw,pvlWPIXhgP,aBhj6OFcIm,604eePRx0Q,aBhj6OFcIm,pvlWPIXhgP,FwhkwLZtDZ,qDXCqweACZ,VQuVn5JLJw,,aBhj6OFcIm,FwhkwLZtDZ,pvlWPIXhgP,,,,qDXCqweACZ,pvlWPIXhgP,VQuVn5JLJw,FwhkwLZtDZ,aBhj6OFcIm,604eePRx0Q,604eePRx0Q,qDXCqweACZ,FwhkwLZtDZ,pvlWPIXhgP,aBhj6OFcIm,VQuVn5JLJw,aBhj6OFcIm,FwhkwLZtDZ,604eePRx0Q,pvlWPIXhgP,VQuVn5JLJw,qDXCqweACZ,604eePRx0Q,FwhkwLZtDZ,VQuVn5JLJw,qDXCqweACZ,aBhj6OFcIm,pvlWPIXhgP,924NvlyHnA,bRVecV2WIK,BTGfF4BU0v,,,,FwhkwLZtDZ,aBhj6OFcIm,pvlWPIXhgP,VQuVn5JLJw,qDXCqweACZ,,aBhj6OFcIm,pvlWPIXhgP,qDXCqweACZ,,,,pvlWPIXhgP,aBhj6OFcIm,FwhkwLZtDZ,,,,22,20,20,21,19,21,21,19,20,21,20,21,19,19,19,19,3,3,4,2,3,2,2,2,4,4,2,3,1,2,34,Special Skaters,Sibfam,Meier,,,,11,11
11/25/18 16:03,11/25/18 16:11,0,100,515,1,11/25/18 16:11,zA5CXg7dWs,,37.42359924,-122.1618958,anonymous,EN,19,924NvlyHnA,aCd0Dp2YkF,44NcOfIu8B,YmGV75OvM2,No8N6UfxrE,5aXQ1cXM2m,924NvlyHnA,aCd0Dp2YkF,5aXQ1cXM2m,No8N6UfxrE,7nbBsyWiQI,YmGV75OvM2,NONE,,,,,,NONE,,,,,,NONE,,,,,,44NcOfIu8B,wpX86oMkhe,YmGV75OvM2,5aXQ1cXM2m,,,sNUb2UL4OQ,,,,,,5aXQ1cXM2m,44NcOfIu8B,wpX86oMkhe,,,,NONE,,,,,,NONE,,,,,,aCd0Dp2YkF,No8N6UfxrE,,,,,aCd0Dp2YkF,No8N6UfxrE,5aXQ1cXM2m,,,,22,20,19,21,20,22,23,19,19,23,20,21,21,21,19,20,3,3,2,3,3,2,3,4,2,1,3,2,3,5,35,None,,,,,,11,11
11/25/18 16:30,11/25/18 16:38,0,100,481,1,11/25/18 16:38,Al6KcB6N5V,,37.42359924,-122.1618958,anonymous,EN,21,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,ERwVQpeSFu,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,pOUHImbSxj,,,,,,21,20,19,23,21,21,22,21,20,23,19,20,20,21,20,20,4,3,5,2,5,4,5,2,4,5,2,4,3,2,35,Korean student association,The daily,Pulse magazine ,,,,11,11
11/25/18 17:39,11/25/18 17:50,0,100,640,1,11/25/18 17:50,bhW5IptzBq,,37.42359924,-122.1618958,anonymous,EN,20,cHzD84Wq5n,YWbnfCbyuC,FzaRLMKYKq,9coNpVsc8a,,,cHzD84Wq5n,YWbnfCbyuC,FzaRLMKYKq,9coNpVsc8a,,,cHzD84Wq5n,YWbnfCbyuC,FzaRLMKYKq,9coNpVsc8a,,,cHzD84Wq5n,FzaRLMKYKq,,,,,cHzD84Wq5n,YWbnfCbyuC,FzaRLMKYKq,9coNpVsc8a,,,cHzD84Wq5n,YWbnfCbyuC,FzaRLMKYKq,,,,YWbnfCbyuC,cHzD84Wq5n,t9PrG98CAu,,,,cHzD84Wq5n,9coNpVsc8a,YWbnfCbyuC,FzaRLMKYKq,,,NONE,,,,,,YWbnfCbyuC,,,,,,cHzD84Wq5n,,,,,,cHzD84Wq5n,,,,,,22,24,20,24,18,24,20,24,19,24,19,24,19,19,20,21,4,3,5,4,2,4,1,3,1,3,5,1,2,5,35,Diversity and First Generation Office,CS + Social Good,Teaching Assistant,,,,12,11
11/25/18 17:59,11/25/18 19:00,0,100,3679,1,11/25/18 19:00,fJXeUKrNmq,,37.42359924,-122.1618958,anonymous,EN,18,sbwW2jmjgg,d6gPuTUuoc,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,NONE,,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,NONE,,,,,,sbwW2jmjgg,d6gPuTUuoc,,,,,21,22,20,24,19,22,21,22,23,21,21,21,22,22,21,21,4,3,3,2,2,4,2,2,3,3,3,4,4,2,34,Scope,Women's Rugby,FLI,,,,11,11
11/25/18 18:59,11/25/18 19:09,0,100,590,1,11/25/18 19:09,d6gPuTUuoc,,37.42359924,-122.1618958,anonymous,EN,18,sbwW2jmjgg,fJXeUKrNmq,yVU3k4gznP,xtld2lDAXV,TKPwmyb2bF,XbrrOqtB02,sbwW2jmjgg,fJXeUKrNmq,xtld2lDAXV,yVU3k4gznP,XbrrOqtB02,,sbwW2jmjgg,fJXeUKrNmq,xtld2lDAXV,yVU3k4gznP,XbrrOqtB02,,sbwW2jmjgg,fJXeUKrNmq,yVU3k4gznP,,,,fJXeUKrNmq,sbwW2jmjgg,yVU3k4gznP,xtld2lDAXV,XbrrOqtB02,,sbwW2jmjgg,fJXeUKrNmq,yVU3k4gznP,xtld2lDAXV,,,sbwW2jmjgg,fJXeUKrNmq,yVU3k4gznP,,,,sbwW2jmjgg,fJXeUKrNmq,yVU3k4gznP,xtld2lDAXV,XbrrOqtB02,,No8N6UfxrE,7XfijRofaj,aCd0Dp2YkF,924NvlyHnA,,,sbwW2jmjgg,fJXeUKrNmq,xtld2lDAXV,,,,sbwW2jmjgg,fJXeUKrNmq,yVU3k4gznP,,,,yVU3k4gznP,xdAItw0MOf,fJXeUKrNmq,,,,20,21,21,22,19,21,23,20,23,20,22,22,20,20,21,21,4,2,3,3,1,4,2,3,3,1,3,1,1,3,34,WYSE,None,None,,,,11,11
