StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
2018-11-26 12:03:30,2018-11-26 12:10:03,0,100,392,1,2018-11-26 12:10:03,g3ki0wbZGW,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,GeJJwHT7ql,sCXx0vuiYH,DI56T8Tnz5,cVKuOVhzS8,H1LnFoouTW,AoUtUPEsgt,GeJJwHT7ql,AoUtUPEsgt,,,,,GeJJwHT7ql,,,,,,WbtOEyYMVE,,,,,,GeJJwHT7ql,ccPhoH4WLk,,,,,WbtOEyYMVE,,,,,,WbtOEyYMVE,,,,,,GeJJwHT7ql,WbtOEyYMVE,,,,,NONE,,,,,,AoUtUPEsgt,NQ4jTAON5p,,,,,NONE,,,,,,ccPhoH4WLk,,,,,,20,22,18,24,20,22,21,21,20,22,20,21,18,20,19,19,4,2,4,1,2,3,3,2,4,2,3,2,4,3,35,Stanford Shakespeare Company,"Out in Science, Technology, Engineering and Mathematics at Stanford",,,,,13,13
2018-11-26 12:33:42,2018-11-26 12:34:00,0,100,17,1,2018-11-26 12:34:00,cGhC03VDka,,37.4235992431640625,-122.161895751953125,anonymous,EN,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13
2018-11-26 12:36:08,2018-11-26 12:36:45,8,100,36,1,2018-11-26 12:36:45,aP8mTipHl6,,37.4235992431640625,-122.161895751953125,anonymous,EN,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13
2018-11-26 12:55:11,2018-11-26 12:58:32,0,100,200,1,2018-11-26 12:58:32,LgivT7HkhB,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,0O58RyGwHE,EJsizpAIWI,,,,,0O58RyGwHE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,20,18,18,22,21,21,21,21,21,21,21,21,19,19,20,20,2,2,3,3,2,3,2,3,3,1,3,2,2,3,34,Other,Cardinal Free Clinics,,Stanford EMS,,,14,13
2018-11-26 12:57:13,2018-11-26 13:00:43,0,100,209,1,2018-11-26 13:00:43,go7wAJXFlb,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,ynspAhpMfj,,,,,,ynspAhpMfj,,,,,,ynspAhpMfj,,,,,,ynspAhpMfj,,,,,,ynspAhpMfj,,,,,,ynspAhpMfj,,,,,,ynspAhpMfj,,,,,,ynspAhpMfj,,,,,,NONE,,,,,,ynspAhpMfj,,,,,,NONE,,,,,,NONE,,,,,,22,22,22,22,23,21,19,19,19,23,19,19,20,20,20,20,4,1,2,2,2,4,1,3,2,2,4,1,1,4,33,Other,,,Stanford Football,,,14,13
2018-11-26 14:03:39,2018-11-26 14:07:52,0,100,253,1,2018-11-26 14:07:53,h9A250Qmj2,,37.4235992431640625,-122.161895751953125,anonymous,EN,20,EJsizpAIWI,ccPhoH4WLk,,,,,EJsizpAIWI,,,,,,EJsizpAIWI,,,,,,EJsizpAIWI,3jiYSyX4iN,,,,,EJsizpAIWI,OciMVONITL,,,,,EJsizpAIWI,,,,,,EJsizpAIWI,ccPhoH4WLk,3jiYSyX4iN,,,,EJsizpAIWI,,,,,,NONE,,,,,,ccPhoH4WLk,,,,,,ccPhoH4WLk,,,,,,EJsizpAIWI,,,,,,23,23,19,23,20,23,23,22,19,23,20,23,21,21,21,21,4,1,3,4,1,4,1,4,2,1,4,1,1,4,36,Stanford Running Club,,,,,,14,13
2018-11-26 14:50:41,2018-11-26 15:00:21,0,100,580,1,2018-11-26 15:00:22,yS4OLXBF0K,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,AEnpBBjChp,,,,,,gZt96Tr6zf,,,,,,gZt96Tr6zf,,,,,,3jiYSyX4iN,,,,,,21,22,21,24,21,20,21,20,22,21,22,20,20,19,21,21,3,4,5,3,3,2,1,2,2,2,3,2,1,4,33,None,None,None,,,,13,13
2018-11-26 15:43:35,2018-11-26 15:50:03,0,100,388,1,2018-11-26 15:50:04,19KB71dUTV,,37.4235992431640625,-122.161895751953125,anonymous,EN,20,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,23,19,19,22,23,23,23,19,22,22,19,21,20,22,20,21,5,1,4,4,2,3,2,4,1,1,4,1,1,4,35,Alpha Chi Sigma,Other,,Science in Service,,,14,13
2018-11-26 16:07:32,2018-11-26 16:15:03,0,100,451,1,2018-11-26 16:15:04,3X7Lx3DmLm,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,WaySYf4Qjj,E4PvBnZAbE,LfnUH7jJvt,gWhlKlCKbU,TKxBQrPAI9,RhssoVCSKD,WaySYf4Qjj,E4PvBnZAbE,LfnUH7jJvt,gWhlKlCKbU,TKxBQrPAI9,JzQsbWR4R7,WaySYf4Qjj,TKxBQrPAI9,gWhlKlCKbU,E4PvBnZAbE,LfnUH7jJvt,JzQsbWR4R7,E4PvBnZAbE,gWhlKlCKbU,TKxBQrPAI9,LfnUH7jJvt,WaySYf4Qjj,JzQsbWR4R7,WaySYf4Qjj,,,,,,WaySYf4Qjj,,,,,,E4PvBnZAbE,,,,,,gWhlKlCKbU,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,Vpa8AoYbIs,,,,,,24,19,22,24,21,24,18,24,19,23,18,21,22,22,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,None,Prefer not to answer,Prefer not to answer,,,,13,13
2018-11-26 22:17:47,2018-11-26 22:26:58,0,100,551,1,2018-11-26 22:26:59,gZt96Tr6zf,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,AEnpBBjChp,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,yS4OLXBF0K,,,,,,23,23,18,24,21,21,19,23,23,22,19,19,22,22,20,21,5,1,3,4,1,5,4,5,1,1,5,1,1,5,33,"FLIP: First-Generation, Low-Income Partnership",Class of 2019 - Senior Class,None,,,,13,13
