StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
2018-11-25 14:10:23,2018-11-25 14:12:40,0,100,136,1,2018-11-25 14:12:40,E3iZFpsSmn,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,XZ3Q9RYYPQ,,,,,,NONE,,,,,,XZ3Q9RYYPQ,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,21,22,20,21,21,21,21,21,21,21,21,21,20,20,20,20,3,3,4,4,3,3,2,2,3,3,4,3,3,2,34,None,,,,,,13,13
2018-11-25 14:06:42,2018-11-25 14:14:25,0,100,463,1,2018-11-25 14:14:26,8dDVyYEYbO,,37.6739959716796875,-122.0894012451171875,anonymous,EN,22,XZ3Q9RYYPQ,GYnW94nX7B,ATUyW1J0tT,7L5iROujtw,EMm39X6MH6,oFDP0sHAbu,EMm39X6MH6,XZ3Q9RYYPQ,,,,,GYnW94nX7B,,,,,,GYnW94nX7B,,,,,,GYnW94nX7B,,,,,,GYnW94nX7B,EMm39X6MH6,oFDP0sHAbu,,,,EMm39X6MH6,GYnW94nX7B,,,,,GYnW94nX7B,EMm39X6MH6,,,,,XZ3Q9RYYPQ,,,,,,EMm39X6MH6,,,,,,GYnW94nX7B,,,,,,EMm39X6MH6,ATUyW1J0tT,,,,,23,21,21,21,21,21,22,22,22,23,21,21,20,20,20,21,5,2,4,4,3,5,2,5,3,5,3,2,2,4,35,Taiwanese Cultural Society,,,,,,8,8
2018-11-25 14:26:31,2018-11-25 14:26:42,0,100,11,1,2018-11-25 14:26:43,urQ9DFNHBD,,37.3179931640625,-122.04489898681640625,anonymous,EN,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
2018-11-25 14:27:17,2018-11-25 14:29:32,0,100,135,1,2018-11-25 14:29:33,VoAjoLmYnI,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35,None,,,,,,8,8
2018-11-25 14:47:11,2018-11-25 14:55:07,0,100,475,1,2018-11-25 14:55:08,mL12n6bGSw,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,cEqLVjVtac,,,,,,cEqLVjVtac,,,,,,U71RyKVg5t,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,,NONE,,,,,LatG627udT,D1bb2s0Snf,wq7OEn1W9V,,,,NONE,,,,,,NONE,,,,,,aNE5cu2Qon,,,,,,18,24,18,24,24,18,19,20,22,22,18,22,22,22,22,22,1,5,5,1,5,1,5,1,5,5,1,5,5,1,32,None,,,,,,8,8
2018-11-25 14:02:17,2018-11-25 15:04:42,0,100,3744,1,2018-11-25 15:04:42,LgivT7HkhB,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,20,18,18,22,21,21,21,21,21,21,21,21,19,19,20,20,3,1,3,3,2,3,2,3,3,1,3,2,2,3,34,Other,Cardinal Free Clinics,,Stanford EMS,,,14,13
2018-11-25 15:47:58,2018-11-25 15:56:31,0,100,513,1,2018-11-25 15:56:32,2R1INofD0B,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,GYnW94nX7B,XZ3Q9RYYPQ,lOMyb4LnXj,W2UJONx96W,oSwnrSyuEO,4sRpiPAQRA,GYnW94nX7B,lOMyb4LnXj,4sRpiPAQRA,oSwnrSyuEO,,,GYnW94nX7B,4sRpiPAQRA,XZ3Q9RYYPQ,,,,GYnW94nX7B,4sRpiPAQRA,,,,,GYnW94nX7B,4sRpiPAQRA,lOMyb4LnXj,XZ3Q9RYYPQ,W2UJONx96W,,GYnW94nX7B,4sRpiPAQRA,W2UJONx96W,iBKakRlA4Y,XZ3Q9RYYPQ,,GYnW94nX7B,4sRpiPAQRA,oMAPWVdxQe,RRLBFrtTUK,,,GYnW94nX7B,4sRpiPAQRA,oMAPWVdxQe,XZ3Q9RYYPQ,wq7OEn1W9V,RRLBFrtTUK,lOMyb4LnXj,imUMOjGxjH,,,,,GYnW94nX7B,RRLBFrtTUK,XZ3Q9RYYPQ,,,,XZ3Q9RYYPQ,4sRpiPAQRA,,,,,GYnW94nX7B,4sRpiPAQRA,oFDP0sHAbu,aNE5cu2Qon,XZ3Q9RYYPQ,wq7OEn1W9V,22,23,20,24,20,22,20,24,19,24,19,20,20,20,19,22,4,3,5,3,3,4,1,2,5,5,4,4,2,3,35,Other,,,Stanford Student Enterprises,,,8,8
2018-11-25 15:53:59,2018-11-25 15:59:36,0,100,336,1,2018-11-25 15:59:36,F5CO65mozZ,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,CEiMgU5dZL,kNurQFONau,RRLBFrtTUK,678p227V9X,,,CEiMgU5dZL,,,,,,NONE,,,,,,NONE,,,,,,CEiMgU5dZL,,,,,,CEiMgU5dZL,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,CEiMgU5dZL,,,,,,NONE,,,,,,CEiMgU5dZL,,,,,,24,21,21,23,19,23,19,23,19,24,19,21,21,21,19,19,3,2,3,4,5,3,5,3,4,4,4,3,2,4,35,None,,,,,,8,8
2018-11-25 15:46:36,2018-11-25 16:12:57,0,100,1581,1,2018-11-25 16:12:58,hvUrmQwI4F,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,BdwHHHv4Wb,zaSX8AT8r8,W2UJONx96W,,,,BdwHHHv4Wb,zaSX8AT8r8,RRLBFrtTUK,D4Bml96Caw,SGo7CrMjcq,pzArMFUtDi,SGo7CrMjcq,D4Bml96Caw,BdwHHHv4Wb,,,,NONE,,,,,,BdwHHHv4Wb,zaSX8AT8r8,SGo7CrMjcq,l6ldq1nIpK,,,D4Bml96Caw,SGo7CrMjcq,,,,,D4Bml96Caw,jFkc56HbVF,,,,,BdwHHHv4Wb,zaSX8AT8r8,hzj5yG9YJE,,,,EMm39X6MH6,t3FMzhq3z6,,,,,aNE5cu2Qon,BdwHHHv4Wb,zaSX8AT8r8,,,,SGo7CrMjcq,,,,,,EMm39X6MH6,pzArMFUtDi,wq7OEn1W9V,U71RyKVg5t,,,19,24,18,24,18,21,19,23,19,23,19,21,19,21,20,21,4,2,3,4,3,4,4,4,4,4,3,2,3,3,35,Stanford Asian American Activism Committee,Stanford Students for Queer Liberation,Asian American Student Association,,,,8,8
2018-11-25 16:06:57,2018-11-25 16:30:09,0,100,1392,1,2018-11-25 16:30:10,7PuAIHdLHj,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,dDMW4ku4co,CEiMgU5dZL,,,,,dDMW4ku4co,,,,,,dDMW4ku4co,,,,,,dDMW4ku4co,4sRpiPAQRA,D4Bml96Caw,U71RyKVg5t,,,dDMW4ku4co,,,,,,NONE,,,,,,jFkc56HbVF,,,,,,dDMW4ku4co,RRLBFrtTUK,1XQ412ig6D,jFkc56HbVF,imUMOjGxjH,FvthLHo3QC,pzArMFUtDi,SGo7CrMjcq,wq7OEn1W9V,,,,dDMW4ku4co,,,,,,t3FMzhq3z6,,,,,,GYnW94nX7B,jFkc56HbVF,dDMW4ku4co,,,,23,24,23,24,19,23,19,23,22,21,21,19,21,21,21,21,3,4,2,3,2,5,5,4,3,2,3,2,1,3,35,"FLIP: First-Generation, Low-Income Partnership",Muslim Student Union,,,,,8,8
