StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
2018-11-25 14:12:24,2018-11-25 14:23:56,0,100,691,1,2018-11-25 14:23:57,kxxYrClkpq,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,mm96PRUdg0,BMat6W7jXk,kVDtZaRncP,zvOEKEMYWO,nVz18txWTE,WCP68m80jR,mm96PRUdg0,BMat6W7jXk,kVDtZaRncP,zvOEKEMYWO,,,6eGkRMO2aT,Oe88aSPipY,,,,,mm96PRUdg0,kVDtZaRncP,,,,,mm96PRUdg0,kVDtZaRncP,BMat6W7jXk,WCP68m80jR,,,mm96PRUdg0,BMat6W7jXk,yoY9iZs6tA,08sWFEspO3,,,yoY9iZs6tA,hpaf3eFECQ,0Fpiib4SJ1,FmlINFD54Z,,,mm96PRUdg0,nVz18txWTE,BMat6W7jXk,yoY9iZs6tA,08sWFEspO3,,QmnqqixrUx,r4eCTCQhWE,wH2L0EBi8W,,,,kVDtZaRncP,mm96PRUdg0,yoY9iZs6tA,,,,svwkINE11A,Oe88aSPipY,l1cbB6IYXW,,,,yoY9iZs6tA,FmlINFD54Z,kVDtZaRncP,0Fpiib4SJ1,nVz18txWTE,Qp7DFQjc0F,23,20,22,23,24,24,23,23,21,24,22,23,18,21,18,21,5,1,3,5,1,4,1,5,3,1,5,1,1,5,36,Stanford Student Space Initiative,Brazilian Students Association,Stanford Pre-Business Association,,,,9,9
2018-11-25 15:07:51,2018-11-25 15:30:21,0,100,1350,1,2018-11-25 15:30:21,RdS4vMvQjo,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,uLauTOGM9U,kd5qNUh5QU,WCP68m80jR,HnuwjZ2prr,FmlINFD54Z,QmnqqixrUx,uLauTOGM9U,kd5qNUh5QU,HuspdJf06f,KyEeDlNtmq,,,q1jhaq3iw1,LbcBMAClx0,mhZjeexjVy,,,,piYHbp8G3a,q1jhaq3iw1,mhZjeexjVy,WCP68m80jR,,,kxxYrClkpq,XDgf2KzRCf,4k9S3zbgXO,yDeiEenqKJ,,,uLauTOGM9U,piYHbp8G3a,QmnqqixrUx,mhZjeexjVy,,,jgjyBhmwq3,KEr1HAuSR1,yDeiEenqKJ,jMtBIROORB,,,XDgf2KzRCf,uLauTOGM9U,KEr1HAuSR1,QkfFB4xSWo,LAfdXRuk2x,yDeiEenqKJ,kMX3xknJi2,HN18VoLyZg,0hCOhBPO4N,nVz18txWTE,r4eCTCQhWE,dD24VEPY9A,piYHbp8G3a,QkfFB4xSWo,HnuwjZ2prr,mm96PRUdg0,,,XDgf2KzRCf,uLauTOGM9U,hpaf3eFECQ,KEr1HAuSR1,,,jgjyBhmwq3,uLauTOGM9U,nVz18txWTE,dD24VEPY9A,4RTWgbD2Am,yoY9iZs6tA,22,23,19,23,19,23,21,22,19,22,19,22,21,20,19,20,4,2,2,4,1,3,2,4,2,1,3,1,1,5,36,Students for a Sustainable Stanford,Stanford Birdwatching Club,Stanford Outdoor Outreach Program,,,,9,9
2018-11-25 17:24:31,2018-11-25 17:34:11,0,100,579,1,2018-11-25 17:34:11,qvwqqp8auF,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,aglhxMS7Cl,01EIQzRlSI,JT8fsG9AUv,1l4p7DQp84,HuspdJf06f,,aglhxMS7Cl,JT8fsG9AUv,HuspdJf06f,1l4p7DQp84,QkfFB4xSWo,,JT8fsG9AUv,1l4p7DQp84,aglhxMS7Cl,,,,JT8fsG9AUv,1l4p7DQp84,aglhxMS7Cl,,,,JT8fsG9AUv,01EIQzRlSI,,,,,JT8fsG9AUv,jgjyBhmwq3,Yf3X0a0OIH,,,,NONE,,,,,,JT8fsG9AUv,jgjyBhmwq3,01EIQzRlSI,,,,NONE,,,,,,1l4p7DQp84,aglhxMS7Cl,,,,,NONE,,,,,,hpaf3eFECQ,0Fpiib4SJ1,,,,,23,21,19,23,19,23,22,22,18,24,19,24,19,19,19,19,4,3,4,4,4,4,3,3,3,3,4,2,2,4,35,Stanford Running Club,Other,,Stanford Food Recovery,,,9,9
2018-11-25 17:12:50,2018-11-25 17:35:34,0,100,1364,1,2018-11-25 17:35:35,mpv9K9CLR6,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,FhXxjX3S78,Qp7DFQjc0F,08sWFEspO3,QmnqqixrUx,JL4xY4waOQ,HnuwjZ2prr,FhXxjX3S78,Qp7DFQjc0F,08sWFEspO3,QmnqqixrUx,,,FhXxjX3S78,QmnqqixrUx,,,,,FhXxjX3S78,,,,,,FhXxjX3S78,Qp7DFQjc0F,08sWFEspO3,QmnqqixrUx,JL4xY4waOQ,HnuwjZ2prr,FhXxjX3S78,QmnqqixrUx,Qp7DFQjc0F,,,,QmnqqixrUx,4RTWgbD2Am,,,,,08sWFEspO3,4RTWgbD2Am,FhXxjX3S78,,,,KSPiUQtuKi,,,,,,FhXxjX3S78,Qp7DFQjc0F,,,,,NONE,,,,,,NONE,,,,,,24,18,19,23,19,21,22,22,18,23,19,21,20,20,20,20,4,1,2,4,3,4,1,5,1,1,5,2,1,4,36,None,,,,,,9,9
2018-11-25 17:11:22,2018-11-25 17:42:27,0,100,1864,1,2018-11-25 17:42:27,2esdEg8IKR,,37.751007080078125,-97.82199859619140625,anonymous,EN,18,GtCoQdwO0w,JT8fsG9AUv,ETvDsrXjM3,uLauTOGM9U,1l4p7DQp84,,GtCoQdwO0w,JT8fsG9AUv,ETvDsrXjM3,yDeiEenqKJ,uLauTOGM9U,,GtCoQdwO0w,uLauTOGM9U,JT8fsG9AUv,ETvDsrXjM3,,,GtCoQdwO0w,JT8fsG9AUv,ETvDsrXjM3,uLauTOGM9U,,,GtCoQdwO0w,JT8fsG9AUv,ETvDsrXjM3,uLauTOGM9U,,,GtCoQdwO0w,JT8fsG9AUv,ETvDsrXjM3,uLauTOGM9U,,,GtCoQdwO0w,jgjyBhmwq3,hpaf3eFECQ,JT8fsG9AUv,,,GtCoQdwO0w,LbcBMAClx0,,uLauTOGM9U,ETvDsrXjM3,,kMX3xknJi2,nVz18txWTE,njlVo4tPBx,5nGJEqrhnA,,,ETvDsrXjM3,JT8fsG9AUv,yDeiEenqKJ,,,,0Fpiib4SJ1,,,,,,0Fpiib4SJ1,KEr1HAuSR1,yoY9iZs6tA,FmlINFD54Z,,,23,23,19,24,19,23,20,23,22,23,19,22,19,21,21,21,4,1,2,5,2,5,1,5,2,3,4,1,1,5,36,Mariachi Cardenal de Stanford,,,,,,9,9
2018-11-25 17:58:02,2018-11-25 18:07:55,0,100,593,1,2018-11-25 18:07:55,FhXxjX3S78,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,08sWFEspO3,Qp7DFQjc0F,mpv9K9CLR6,5nGJEqrhnA,kVDtZaRncP,,08sWFEspO3,Qp7DFQjc0F,mpv9K9CLR6,5nGJEqrhnA,kVDtZaRncP,l1cbB6IYXW,Qp7DFQjc0F,08sWFEspO3,,,,,Qp7DFQjc0F,08sWFEspO3,,,,,08sWFEspO3,Qp7DFQjc0F,mpv9K9CLR6,,,,Qp7DFQjc0F,08sWFEspO3,mpv9K9CLR6,5nGJEqrhnA,,,Qp7DFQjc0F,08sWFEspO3,mpv9K9CLR6,,,,Qp7DFQjc0F,08sWFEspO3,,,,,NONE,,,,,,Qp7DFQjc0F,08sWFEspO3,,,,,hpaf3eFECQ,,,,,,0Fpiib4SJ1,,,,,,24,20,19,22,19,20,23,20,22,23,19,20,21,21,19,19,4,2,2,4,3,4,1,4,2,2,3,2,2,3,35,The Stanford Daily,MINT Magazine,Other,,ASES,,9,9
2018-11-25 18:12:04,2018-11-25 18:55:52,0,100,2627,1,2018-11-25 18:55:52,mm96PRUdg0,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,WCP68m80jR,yoY9iZs6tA,4RTWgbD2Am,kxxYrClkpq,kVDtZaRncP,zvOEKEMYWO,WCP68m80jR,kxxYrClkpq,4RTWgbD2Am,yoY9iZs6tA,BMat6W7jXk,zvOEKEMYWO,WCP68m80jR,yoY9iZs6tA,4RTWgbD2Am,kxxYrClkpq,zvOEKEMYWO,FmlINFD54Z,yoY9iZs6tA,4RTWgbD2Am,kxxYrClkpq,kVDtZaRncP,WCP68m80jR,,NONE,,,,,,WCP68m80jR,kxxYrClkpq,FmlINFD54Z,kVDtZaRncP,BMat6W7jXk,dD24VEPY9A,yoY9iZs6tA,4RTWgbD2Am,,,,,0Fpiib4SJ1,qVNGA98VRR,KyEeDlNtmq,yoY9iZs6tA,4RTWgbD2Am,o1MIf7zaIC,DUo4iy6ZJR,,,,,,NONE,,,,,,0Fpiib4SJ1,hpaf3eFECQ,6eGkRMO2aT,LbcBMAClx0,,,dD24VEPY9A,mm96PRUdg0,0Fpiib4SJ1,AVE6V5BvGB,AOcGjlg8u3,hpaf3eFECQ,24,22,23,23,20,23,,,,,,23,20,20,19,19,5,5,5,3,5,5,4,4,4,5,4,4,1,5,36,InterVarsity Christian Fellowship,Korean-American Student Association,,,,,9,9
2018-11-25 14:25:35,2018-11-25 23:54:29,0,100,34134,1,2018-11-25 23:54:30,3kCGUpOgmz,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,jgjyBhmwq3,ZO6EEhU6zu,XDgf2KzRCf,FW0v3qo83f,qvwqqp8auF,1aqKnzlihK,jgjyBhmwq3,FW0v3qo83f,JT8fsG9AUv,kd5qNUh5QU,AVE6V5BvGB,uLauTOGM9U,q1jhaq3iw1,,,,,,1aqKnzlihK,,,,,,jgjyBhmwq3,,,,,,jgjyBhmwq3,1aqKnzlihK,AHhvxaDyPP,,,,jgjyBhmwq3,1aqKnzlihK,,,,,jgjyBhmwq3,1aqKnzlihK,kd5qNUh5QU,AVE6V5BvGB,FmlINFD54Z,,NONE,,,,,,uLauTOGM9U,,,,,,NONE,,,,,,jgjyBhmwq3,FmlINFD54Z,yoY9iZs6tA,0Fpiib4SJ1,zvOEKEMYWO,9AlMIwieUQ,23,22,22,23,,24,23,20,21,22,,23,22,22,22,22,4,2,2,5,1,5,1,5,1,1,5,1,1,5,36,Other,Society of Black Scientists and Engineers,Other,SHIFT,Dorm committee ,,9,9
2018-11-26 12:49:00,2018-11-26 13:00:44,0,100,704,1,2018-11-26 13:00:45,08sWFEspO3,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,Qp7DFQjc0F,FhXxjX3S78,5nGJEqrhnA,,,,FhXxjX3S78,Qp7DFQjc0F,,,,,FhXxjX3S78,Qp7DFQjc0F,5nGJEqrhnA,,,,FhXxjX3S78,Qp7DFQjc0F,,,,,FhXxjX3S78,Qp7DFQjc0F,,,,,FhXxjX3S78,Qp7DFQjc0F,mpv9K9CLR6,5nGJEqrhnA,,,mpv9K9CLR6,l1cbB6IYXW,,,,,kj6CWiqQhK,Qp7DFQjc0F,nVz18txWTE,,,,mpv9K9CLR6,HnuwjZ2prr,,,,,FhXxjX3S78,Qp7DFQjc0F,,,,,5nGJEqrhnA,,,,,,5nGJEqrhnA,kj6CWiqQhK,,,,,22,23,19,23,18,21,19,23,19,23,18,21,19,19,20,20,4,1,3,4,1,5,1,5,1,1,5,1,1,4,36,,,Other,Stanford Women’s golf ,Stanford Women’s golf ,Stanford Women’s golf,9,9
2018-11-26 15:00:34,2018-11-26 15:16:24,0,100,949,1,2018-11-26 15:16:25,mYr4Lvelre,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,wH2L0EBi8W,NONE,NONE,NONE,NONE,NONE,wH2L0EBi8W,aglhxMS7Cl,ZwqWMa83DJ,NONE,NONE,NONE,FmlINFD54Z,6eGkRMO2aT,NONE,NONE,NONE,JT8fsG9AUv,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,wH2L0EBi8W,NONE,NONE,NONE,NONE,NONE,FmlINFD54Z,6eGkRMO2aT,uLauTOGM9U,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,wH2L0EBi8W,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,FmlINFD54Z,svwkINE11A,uLauTOGM9U,wH2L0EBi8W,Yf3X0a0OIH,NONE,23,21,19,23,20,22,24,20,19,24,20,24,21,21,20,20,3,3,4,3,5,3,5,3,4,5,4,4,3,3,33,Stanford Dragon Boat,Stanford Badminton Club,None,,,,9,9
