StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,Q41_1,Q41_2,Q41_3,Q43_4,Q43_5,Q43_6,DID,NID
2018-11-25 14:00:28,2018-11-25 14:06:35,0,100,367,1,2018-11-25 14:06:37,EuBr7E8JG6,,33.9055938720703125,-118.0818023681640625,anonymous,EN,19,LnE0mTM5N3,IGP5eTT9QK,L5vCqNOE98,,,,LnE0mTM5N3,,,,,,4LQ8vbf3eD,,,,,,LnE0mTM5N3,NQtrsSYCYj,,,,,LnE0mTM5N3,NQtrsSYCYj,,,,,LnE0mTM5N3,KCYKDjmNHs,,,,,KCYKDjmNHs,,,,,,LnE0mTM5N3,KCYKDjmNHs,,,,,rOwXfAVWXN,ud1NKswcVs,Eo5Xm7GiJC,0W7HOJIfdM,zPObaZNmKH,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,QBfwTc80K3,CosbTLZsb1,4B6tmHOq0P,,,,22,23,22,23,20,24,19,24,20,24,18,21,21,21,18,19,4,1,5,3,3,3,2,2,3,4,4,1,1,2,35,Nigerian Students Association (Naija),Stanford African Students Association,Society of Black Scientists and Engineers,,,,10,10
2018-11-25 14:09:58,2018-11-25 14:17:37,0,100,458,1,2018-11-25 14:17:37,0W7HOJIfdM,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,QBfwTc80K3,ZHlcHR8HA9,CosbTLZsb1,FtXDYm83Eu,,,QBfwTc80K3,,,,,,sxWT3JaJc1,QBfwTc80K3,,,,,QBfwTc80K3,CosbTLZsb1,,,,,ZHlcHR8HA9,QBfwTc80K3,sxWT3JaJc1,FtXDYm83Eu,CosbTLZsb1,,QBfwTc80K3,CosbTLZsb1,,,,,dzR8fn9esS,,,,,,QBfwTc80K3,dzR8fn9esS,,,,,iNHqkHG3QM,6tXIcRLFzO,,,,,EuBr7E8JG6,QBfwTc80K3,CosbTLZsb1,sxWT3JaJc1,FtXDYm83Eu,,EuBr7E8JG6,,,,,,dzR8fn9esS,,,,,,20,22,23,21,21,23,19,23,21,24,21,23,18,21,18,20,5,5,5,5,5,5,1,5,5,5,3,4,1,2,36,Stanford Womens Rugby,Society of Black Scientists and Engineers,,,,,10,10
2018-11-25 14:02:59,2018-11-25 14:23:29,0,100,1230,1,2018-11-25 14:23:30,uMsszd9Khr,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,KG9jqp4jOc,iIy8CeVhZc,cPG73WKbhb,hsklOX5oZ2,2wURrgaH01,FtXDYm83Eu,KG9jqp4jOc,iIy8CeVhZc,cPG73WKbhb,hsklOX5oZ2,2wURrgaH01,sxWT3JaJc1,2wURrgaH01,dzR8fn9esS,cPG73WKbhb,RQUG36pWW2,KG9jqp4jOc,hsklOX5oZ2,iIy8CeVhZc,cPG73WKbhb,2wURrgaH01,KG9jqp4jOc,hsklOX5oZ2,,iIy8CeVhZc,cPG73WKbhb,2wURrgaH01,hsklOX5oZ2,KG9jqp4jOc,,QBfwTc80K3,FtXDYm83Eu,iIy8CeVhZc,cPG73WKbhb,KG9jqp4jOc,2wURrgaH01,cPG73WKbhb,2wURrgaH01,W9Std7wQyx,cueu3X2Xmg,FtXDYm83Eu,,sxWT3JaJc1,Ibvf92ns1K,Vba819glE1,cPG73WKbhb,KG9jqp4jOc,,qAglewGHBH,U8jvvRi8SB,hHoaW16OYh,rOwXfAVWXN,HjhRu6JPJY,,cPG73WKbhb,cueu3X2Xmg,s5ftgTtnvq,iIy8CeVhZc,KG9jqp4jOc,hsklOX5oZ2,vFAHDFE0Ka,6tXIcRLFzO,,,,,vFAHDFE0Ka,cPG73WKbhb,wXBudQ5UFY,4B6tmHOq0P,iNHqkHG3QM,,22,24,22,24,23,23,19,24,20,23,20,23,20,19,22,21,4,2,4,5,3,5,3,4,4,4,4,2,2,5,36,Black Student Union,Stanford Economics Association,Stanford In Government,,,,10,10
2018-11-25 14:14:41,2018-11-25 14:26:34,0,100,712,1,2018-11-25 14:26:34,iIy8CeVhZc,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,uMsszd9Khr,cPG73WKbhb,KG9jqp4jOc,2wURrgaH01,,,uMsszd9Khr,cPG73WKbhb,KG9jqp4jOc,2wURrgaH01,,,uMsszd9Khr,6tXIcRLFzO,dzR8fn9esS,cPG73WKbhb,,,uMsszd9Khr,,,,,,uMsszd9Khr,cPG73WKbhb,KG9jqp4jOc,2wURrgaH01,,,uMsszd9Khr,KG9jqp4jOc,dzR8fn9esS,cPG73WKbhb,2wURrgaH01,,cPG73WKbhb,2wURrgaH01,KG9jqp4jOc,dzR8fn9esS,,,dzR8fn9esS,cPG73WKbhb,KG9jqp4jOc,2wURrgaH01,uMsszd9Khr,,NONE,,,,,,uMsszd9Khr,cPG73WKbhb,KG9jqp4jOc,2wURrgaH01,,,uMsszd9Khr,cPG73WKbhb,,,,,vFAHDFE0Ka,uMsszd9Khr,dzR8fn9esS,wXBudQ5UFY,,,22,23,22,24,20,22,22,23,22,24,20,22,21,19,21,20,4,2,2,3,2,2,2,3,3,1,2,2,1,3,35,Black Student Union,Catch A Fyah,Stanford Black Pre-Medical Organization,,,,10,10
2018-11-25 14:26:54,2018-11-25 14:36:54,0,100,599,1,2018-11-25 14:36:54,zPObaZNmKH,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,NONE,,,,,,LnE0mTM5N3,,,,,,LnE0mTM5N3,,,,,,NONE,,,,,,19,24,19,24,18,24,19,24,22,23,19,21,22,22,22,22,4,1,3,3,1,4,1,4,1,1,4,1,1,5,35,Stanford African Students Association,Nigerian Students Association (Naija),None,,,,10,10
2018-11-25 14:03:24,2018-11-25 14:42:39,0,100,2355,1,2018-11-25 14:42:39,D81ScNUgBY,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,FtXDYm83Eu,62d3AEQx36,Ibvf92ns1K,wXBudQ5UFY,sxWT3JaJc1,,Vba819glE1,FtXDYm83Eu,62d3AEQx36,Ibvf92ns1K,sxWT3JaJc1,,GNSP8uWRcq,dzR8fn9esS,Ibvf92ns1K,0W7HOJIfdM,,,FtXDYm83Eu,sxWT3JaJc1,,,,,FtXDYm83Eu,62d3AEQx36,Ibvf92ns1K,Vba819glE1,sxWT3JaJc1,0W7HOJIfdM,Ibvf92ns1K,62d3AEQx36,FtXDYm83Eu,sxWT3JaJc1,SjB0co3Ckl,0W7HOJIfdM,wXBudQ5UFY,62d3AEQx36,,,,,FtXDYm83Eu,Ibvf92ns1K,8LorqQO6oX,SjB0co3Ckl,ZHlcHR8HA9,wXBudQ5UFY,cueu3X2Xmg,NJ0Qb1axWc,,,,,FtXDYm83Eu,62d3AEQx36,Ibvf92ns1K,,,,8LorqQO6oX,Ibvf92ns1K,s5ftgTtnvq,,,,Ibvf92ns1K,wXBudQ5UFY,KG9jqp4jOc,GNSP8uWRcq,,,23,22,19,24,,24,22,23,21,24,,23,20,21,20,21,4,2,3,3,3,4,2,4,4,3,3,2,1,5,36,Chi Alpha Christian Fellowship,Blackstage,,,,,10,10
2018-11-25 14:55:12,2018-11-25 15:05:10,0,100,597,1,2018-11-25 15:05:10,yUQtDGaPzo,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,kUWSMocJj0,CZGY8eg2zh,wXBudQ5UFY,,,,kUWSMocJj0,CZGY8eg2zh,nMe4A6pnrz,,,,NONE,,,,,,NONE,,,,,,kUWSMocJj0,,,,,,kUWSMocJj0,,,,,,NONE,,,,,,kUWSMocJj0,CZGY8eg2zh,qAglewGHBH,,,,NONE,,,,,,CZGY8eg2zh,kUWSMocJj0,,,,,NONE,,,,,,uMsszd9Khr,wXBudQ5UFY,,,,,23,23,19,24,19,21,20,24,20,24,18,21,18,19,21,21,2,4,5,1,4,5,1,3,5,5,1,1,1,3,34,Stanford Mock Trial,Womxns Coalition,Other,Stanford Womxn in Law,,,10,10
2018-11-25 15:30:48,2018-11-25 15:40:48,0,100,599,1,2018-11-25 15:40:48,CZGY8eg2zh,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,kUWSMocJj0,SBnB6xfSMl,wXBudQ5UFY,dzR8fn9esS,yUQtDGaPzo,,kUWSMocJj0,SBnB6xfSMl,wXBudQ5UFY,yUQtDGaPzo,,,kUWSMocJj0,SBnB6xfSMl,wXBudQ5UFY,,,,kUWSMocJj0,SBnB6xfSMl,,,,,kUWSMocJj0,SBnB6xfSMl,wXBudQ5UFY,,,,SBnB6xfSMl,kUWSMocJj0,wXBudQ5UFY,,,,wXBudQ5UFY,SBnB6xfSMl,,,,,kUWSMocJj0,wXBudQ5UFY,SBnB6xfSMl,yUQtDGaPzo,,,SBnB6xfSMl,,,,,,SBnB6xfSMl,wXBudQ5UFY,kUWSMocJj0,SNE0yhvvVL,,,SBnB6xfSMl,,,,,,SBnB6xfSMl,wXBudQ5UFY,dzR8fn9esS,uMsszd9Khr,KG9jqp4jOc,,18,24,20,24,18,22,20,22,22,23,20,21,22,19,22,20,3,3,4,2,4,3,4,2,5,3,2,3,4,4,33,Black Student Union,Stanford National Association for the Advancement of Colored People,Alternative Spring Break,,,,10,10
2018-11-25 15:52:03,2018-11-25 16:19:05,0,100,1621,1,2018-11-25 16:19:05,kUWSMocJj0,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,CZGY8eg2zh,yUQtDGaPzo,SBnB6xfSMl,wXBudQ5UFY,ue5T0E8cci,dzR8fn9esS,CZGY8eg2zh,yUQtDGaPzo,wXBudQ5UFY,SBnB6xfSMl,,,SBnB6xfSMl,ue5T0E8cci,CZGY8eg2zh,yUQtDGaPzo,gJRJG9zrRg,dzR8fn9esS,dzR8fn9esS,yUQtDGaPzo,gJRJG9zrRg,CZGY8eg2zh,SBnB6xfSMl,wXBudQ5UFY,SBnB6xfSMl,yUQtDGaPzo,CZGY8eg2zh,dzR8fn9esS,ue5T0E8cci,gJRJG9zrRg,CZGY8eg2zh,yUQtDGaPzo,dzR8fn9esS,01DGcnKSFh,ue5T0E8cci,gJRJG9zrRg,wXBudQ5UFY,gJRJG9zrRg,dzR8fn9esS,cPG73WKbhb,CZGY8eg2zh,yUQtDGaPzo,cPG73WKbhb,gJRJG9zrRg,yUQtDGaPzo,01DGcnKSFh,wXBudQ5UFY,CZGY8eg2zh,NONE,NONE,NONE,NONE,NONE,NONE,gJRJG9zrRg,ue5T0E8cci,dzR8fn9esS,CZGY8eg2zh,yUQtDGaPzo,SBnB6xfSMl,wXBudQ5UFY,yUQtDGaPzo,CZGY8eg2zh,dzR8fn9esS,gJRJG9zrRg,cPG73WKbhb,gJRJG9zrRg,yUQtDGaPzo,cPG73WKbhb,EuBr7E8JG6,dzR8fn9esS,01DGcnKSFh,21,24,19,24,18,22,21,24,21,24,18,21,21,20,22,22,4,2,2,3,1,4,1,3,2,1,3,2,1,5,34,Black Student Union,Stanford National Association for the Advancement of Colored People,Other,SLAP,,,10,10
2018-11-25 15:56:42,2018-11-25 16:22:32,0,100,1550,1,2018-11-25 16:22:32,sxWT3JaJc1,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,W9Std7wQyx,wXBudQ5UFY,fxvdHjQC2i,D81ScNUgBY,ZHlcHR8HA9,FtXDYm83Eu,W9Std7wQyx,fxvdHjQC2i,ZHlcHR8HA9,wXBudQ5UFY,D81ScNUgBY,FtXDYm83Eu,FtXDYm83Eu,W9Std7wQyx,fxvdHjQC2i,wXBudQ5UFY,,,fxvdHjQC2i,W9Std7wQyx,wXBudQ5UFY,FtXDYm83Eu,,,FtXDYm83Eu,D81ScNUgBY,fxvdHjQC2i,W9Std7wQyx,wXBudQ5UFY,ZHlcHR8HA9,fxvdHjQC2i,W9Std7wQyx,D81ScNUgBY,wXBudQ5UFY,,,wXBudQ5UFY,fxvdHjQC2i,W9Std7wQyx,,,,SjB0co3Ckl,D81ScNUgBY,fxvdHjQC2i,W9Std7wQyx,wXBudQ5UFY,,NONE,,,,,,W9Std7wQyx,fxvdHjQC2i,ZHlcHR8HA9,FtXDYm83Eu,,,fxvdHjQC2i,W9Std7wQyx,,,,,FtXDYm83Eu,uMsszd9Khr,KG9jqp4jOc,cPG73WKbhb,hsklOX5oZ2,,23,23,21,22,21,22,23,23,21,23,21,23,19,21,21,21,5,1,3,4,2,5,2,3,2,2,4,1,1,5,35,Black Student Union,Stanford Ethiopian and Eritrean Student Association,Other,Sistas in STEM,,,10,10
