StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,PID,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,CloseFrds_1,CloseFrds_2,CloseFrds_3,CloseFrds_4,CloseFrds_5,CloseFrds_6,SpendTime_1,SpendTime_2,SpendTime_3,SpendTime_4,SpendTime_5,SpendTime_6,SocAdvice_1,SocAdvice_2,SocAdvice_3,SocAdvice_4,SocAdvice_5,SocAdvice_6,NegEmoSupp_1,NegEmoSupp_2,NegEmoSupp_3,NegEmoSupp_4,NegEmoSupp_5,NegEmoSupp_6,PosEmoSupp_1,PosEmoSupp_2,PosEmoSupp_3,PosEmoSupp_4,PosEmoSupp_5,PosEmoSupp_6,Responsive_1,Responsive_2,Responsive_3,Responsive_4,Responsive_5,Responsive_6,EmpSupp_1,EmpSupp_2,EmpSupp_3,EmpSupp_4,EmpSupp_5,EmpSupp_6,PosAffPres_1,PosAffPres_2,PosAffPres_3,PosAffPres_4,PosAffPres_5,PosAffPres_6,NegAffPres_1,NegAffPres_2,NegAffPres_3,NegAffPres_4,NegAffPres_5,NegAffPres_6,Gossip_1,Gossip_2,Gossip_3,Gossip_4,Gossip_5,Gossip_6,Persuasive_1,Persuasive_2,Persuasive_3,Persuasive_4,Persuasive_5,Persuasive_6,Liked_1,Liked_2,Liked_3,Liked_4,Liked_5,Liked_6,PoliticalAttitudes1,PoliticalAttitudes2,PoliticalAttitudes3,PoliticalAttitudes4,PoliticalAttitudes5,PoliticalAttitudes6,GroupPolitics1,GroupPolitics2,GroupPolitics3,GroupPolitics4,GroupPolitics5,GroupPolitics6,MoralConvictions1,MoralConvictions2,MoralConvictions3,MoralConvictions4,Wellbeing_self_17,Lonely,Stressed,Satisfied,Rumination,Wellbeing_self_18,Social_Anxiety,Wellbeing_self_22,Anxiety_1,Anxiety_2,Wellbeing_self_19,Depression,Anhedonia,Wellbeing_self_21,Belonging,StudGrpAnswers_1,StudGrpAnswers_2,StudGrpAnswers_3,Other_group_4,Other_group_5,Other_group_6,DID,NID
2018-11-25 14:00:14,2018-11-25 14:04:34,0,100,259,1,2018-11-25 14:04:34,U2oqH1jrLV,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,jd9y5dsXO7,A2WjzgtNDq,0B1fiqQFkA,IEcVQrkKj0,dEzm9ODlq9,,jd9y5dsXO7,0B1fiqQFkA,IEcVQrkKj0,,,,jd9y5dsXO7,hWlUnfftae,IEcVQrkKj0,,,,jd9y5dsXO7,0B1fiqQFkA,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,A2WjzgtNDq,,,,,,22,22,21,22,22,22,23,23,22,22,22,23,20,20,19,20,3,4,4,3,4,4,5,4,4,4,4,4,4,4,33,Asia-Pacific Student Entreprenuership Society,Sanskriti,Stanford Pre-Business Association,,,,16,15
2018-11-25 14:01:33,2018-11-25 14:13:52,0,100,739,1,2018-11-25 14:13:52,c25707kBkd,,37.4235992431640625,-122.161895751953125,anonymous,EN,19,AI6JyFIYma,P4XaqBrXVs,m90Z46OkM5,To0eTNaSrC,,,P4XaqBrXVs,AI6JyFIYma,,,,,wiQPWR55Qc,cQOqjfpJBD,SuuTm5Ic1z,,,,To0eTNaSrC,AI6JyFIYma,,,,,AI6JyFIYma,P4XaqBrXVs,,,,,AI6JyFIYma,To0eTNaSrC,cQOqjfpJBD,,,,To0eTNaSrC,,,,,,AI6JyFIYma,To0eTNaSrC,,,,,NONE,,,,,,NONE,,,,,,AI6JyFIYma,To0eTNaSrC,,,,,To0eTNaSrC,SuuTm5Ic1z,cQOqjfpJBD,GG9oqyPqz3,wy8q7Tsv51,AI6JyFIYma,23,18,21,24,21,22,23,20,20,23,19,20,18,18,18,18,4,1,1,3,1,3,1,3,1,1,4,1,1,4,36,Zen Society,Stanford Dragon Boat,None,,,,15,15
2018-11-25 14:06:10,2018-11-25 14:15:32,0,100,561,1,2018-11-25 14:15:32,QoCFF8bbpj,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,EDXX25pBlE,dEzm9ODlq9,cQOqjfpJBD,gDKlZubk20,wy8q7Tsv51,Sc6riQrRX4,EDXX25pBlE,dEzm9ODlq9,gDKlZubk20,DklVDmfaGa,Sc6riQrRX4,,cQOqjfpJBD,DklVDmfaGa,Z73Laf5kXD,5jAeJd0crj,BkU1plPaAM,,NONE,,,,,,EDXX25pBlE,,,,,,cQOqjfpJBD,,,,,,cQOqjfpJBD,,,,,,5Lox6JSdzD,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,23,23,22,22,21,20,23,22,21,23,20,21,20,20,19,19,3,1,2,4,2,3,2,4,2,2,4,1,1,4,36,Leland Stanford Junior University Marching Band,,,,,,15,15
2018-11-25 14:10:27,2018-11-25 14:19:53,0,100,566,1,2018-11-25 14:19:54,oWg71k35iP,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,DklVDmfaGa,Z2nJosxNps,EDXX25pBlE,0B1fiqQFkA,,,DklVDmfaGa,Z2nJosxNps,0B1fiqQFkA,EDXX25pBlE,,,DklVDmfaGa,Z2nJosxNps,0B1fiqQFkA,EDXX25pBlE,,,DklVDmfaGa,Z2nJosxNps,,,,,DklVDmfaGa,Z2nJosxNps,0B1fiqQFkA,,,,DklVDmfaGa,Z2nJosxNps,,,,,0B1fiqQFkA,,,,,,DklVDmfaGa,,,,,,jd9y5dsXO7,,,,,,EDXX25pBlE,DklVDmfaGa,Z2nJosxNps,,,,DklVDmfaGa,,,,,,HatBMjEbHH,dhw7W9frib,Bvkt2qjTAb,p9BM6dRjOS,HFR6hY3Snb,A2WjzgtNDq,23,24,18,23,21,19,24,24,18,21,21,21,22,22,20,20,4,2,3,3,3,2,1,4,3,3,3,1,2,4,34,,,,,,,15,15
2018-11-25 14:01:47,2018-11-25 14:48:50,0,100,2823,1,2018-11-25 14:48:51,EDXX25pBlE,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,2ysmumKheG,5Lox6JSdzD,oWg71k35iP,,,,5Lox6JSdzD,wy8q7Tsv51,2ysmumKheG,,,,2ysmumKheG,5Lox6JSdzD,UPcYoekOX0,,,,2ysmumKheG,UPcYoekOX0,,,,,5Lox6JSdzD,2ysmumKheG,,,,,5Lox6JSdzD,2ysmumKheG,oWg71k35iP,cQOqjfpJBD,,,cQOqjfpJBD,5Lox6JSdzD,UPcYoekOX0,BWBNnppOi5,,,5Lox6JSdzD,2ysmumKheG,BWBNnppOi5,DpLfSTNApV,,,NONE,,,,,,5Lox6JSdzD,2ysmumKheG,,,,,DpLfSTNApV,,,,,,5Lox6JSdzD,SuuTm5Ic1z,A2WjzgtNDq,,,,23,22,20,21,19,23,23,21,21,23,19,23,21,19,21,21,3,3,4,3,3,3,1,3,3,1,3,1,1,4,35,The Stanford Daily,Asian American Student Association,Other,,,Melody,16,15
2018-11-25 14:39:13,2018-11-25 14:50:21,0,100,667,1,2018-11-25 14:50:21,CMdnMLaaW4,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,cQOqjfpJBD,8iiUaabIgM,5Lox6JSdzD,Adzp9IKmuu,LmXjMziAXq,0pORiiPzFJ,5Lox6JSdzD,Adzp9IKmuu,LmXjMziAXq,,,,cQOqjfpJBD,8iiUaabIgM,LmXjMziAXq,,,,cQOqjfpJBD,8iiUaabIgM,LmXjMziAXq,,,,cQOqjfpJBD,8iiUaabIgM,LmXjMziAXq,Adzp9IKmuu,,,cQOqjfpJBD,8iiUaabIgM,LmXjMziAXq,,,,cQOqjfpJBD,LmXjMziAXq,,,,,cQOqjfpJBD,5Lox6JSdzD,,,,,LmXjMziAXq,VQDKQgqo5c,hW1jvoxgyh,,,,cQOqjfpJBD,LmXjMziAXq,,,,,SuuTm5Ic1z,cQOqjfpJBD,,,,,5Lox6JSdzD,SuuTm5Ic1z,,,,,22,19,21,24,18,22,23,19,20,24,19,21,21,20,21,21,4,4,3,4,4,2,4,4,2,2,4,4,4,4,34,None,None,None,,,,16,15
2018-11-25 14:44:54,2018-11-25 14:52:05,0,100,430,1,2018-11-25 14:52:05,AKWrTUVKs8,,37.553802490234375,-122.2700042724609375,anonymous,EN,18,GzUvpKRmsy,,,,,,GzUvpKRmsy,zYCPR46vzU,hCj62DCCyZ,5Lox6JSdzD,,,BWBNnppOi5,GzUvpKRmsy,hWlUnfftae,,,,NONE,,,,,,GzUvpKRmsy,,,,,,GzUvpKRmsy,,,,,,hW1jvoxgyh,,,,,,GzUvpKRmsy,zYCPR46vzU,,,,,NONE,,,,,,NONE,,,,,,NONE,,,,,,hW1jvoxgyh,hCj62DCCyZ,5Lox6JSdzD,,,,22,23,18,23,19,19,21,21,21,21,21,21,20,21,19,20,4,3,3,3,4,3,4,5,4,3,2,1,1,4,35,The Stanford Daily,Leland Quarterly,Stanford Arts Review,,,,16,15
2018-11-25 14:36:48,2018-11-25 14:52:32,0,100,944,1,2018-11-25 14:52:33,hW1jvoxgyh,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,bU2fBNkYRL,mRbG3NHMp6,2ysmumKheG,EDXX25pBlE,AKWrTUVKs8,DKBDHQ6DUH,bU2fBNkYRL,mRbG3NHMp6,2ysmumKheG,DKBDHQ6DUH,5Lox6JSdzD,EDXX25pBlE,hWlUnfftae,SuuTm5Ic1z,,,,,bU2fBNkYRL,mRbG3NHMp6,,,,,bU2fBNkYRL,mRbG3NHMp6,2ysmumKheG,EDXX25pBlE,DKBDHQ6DUH,AKWrTUVKs8,bU2fBNkYRL,mRbG3NHMp6,DKBDHQ6DUH,2ysmumKheG,EDXX25pBlE,5Lox6JSdzD,DKBDHQ6DUH,2ysmumKheG,dhw7W9frib,AKWrTUVKs8,,,5Lox6JSdzD,DKBDHQ6DUH,dhw7W9frib,bU2fBNkYRL,mRbG3NHMp6,,NONE,,,,,,bU2fBNkYRL,mRbG3NHMp6,,,,,DklVDmfaGa,A2WjzgtNDq,SuuTm5Ic1z,bU2fBNkYRL,,,5eggge3kdl,5Lox6JSdzD,5jAeJd0crj,cQOqjfpJBD,SuuTm5Ic1z,UPcYoekOX0,23,22,19,21,21,21,19,20,19,21,19,18,19,20,19,19,5,2,3,5,3,5,1,4,3,2,4,1,1,5,36,Health Education Lifetime Partnerships (HELP) for Kids,Music Enriching the Lives of Developing Youth,XTRM,,,,16,15
2018-11-25 14:45:19,2018-11-25 14:59:15,0,100,836,1,2018-11-25 14:59:16,Fr5vIOCeok,,37.4235992431640625,-122.161895751953125,anonymous,EN,18,To0eTNaSrC,MG8dbmVexI,zOtVt61Awh,6aK0Jlv24f,,,MG8dbmVexI,To0eTNaSrC,zOtVt61Awh,6aK0Jlv24f,,,To0eTNaSrC,MG8dbmVexI,,,,,To0eTNaSrC,MG8dbmVexI,,,,,MG8dbmVexI,To0eTNaSrC,,,,,To0eTNaSrC,,,,,,MG8dbmVexI,,,,,,NONE,,,,,,NONE,,,,,,MG8dbmVexI,To0eTNaSrC,,,,,To0eTNaSrC,MG8dbmVexI,,,,,NONE,,,,,,23,24,18,23,21,19,22,23,21,24,21,21,22,22,22,22,4,4,5,1,4,5,3,2,5,4,4,1,1,3,34,Alternative Spring Break,Stanford Video Game Association,Stanford Badminton Club,,,,15,15
2018-11-25 14:51:05,2018-11-25 15:40:58,0,100,2992,1,2018-11-25 15:40:58,LmXjMziAXq,,37.4235992431640625,-122.161895751953125,anonymous,EN,21,CMdnMLaaW4,cQOqjfpJBD,8iiUaabIgM,gDKlZubk20,5Lox6JSdzD,Adzp9IKmuu,CMdnMLaaW4,gDKlZubk20,5Lox6JSdzD,Adzp9IKmuu,8iiUaabIgM,cQOqjfpJBD,CMdnMLaaW4,cQOqjfpJBD,8iiUaabIgM,,,,CMdnMLaaW4,cQOqjfpJBD,8iiUaabIgM,RQRSPDf1MD,,,CMdnMLaaW4,8iiUaabIgM,cQOqjfpJBD,gDKlZubk20,5Lox6JSdzD,RQRSPDf1MD,CMdnMLaaW4,cQOqjfpJBD,8iiUaabIgM,gDKlZubk20,5Lox6JSdzD,KKO9rzyHLL,CMdnMLaaW4,cQOqjfpJBD,gDKlZubk20,KKO9rzyHLL,RQRSPDf1MD,5Lox6JSdzD,CMdnMLaaW4,5Lox6JSdzD,cQOqjfpJBD,gDKlZubk20,Adzp9IKmuu,5eggge3kdl,CMdnMLaaW4,,,,,,CMdnMLaaW4,cQOqjfpJBD,8iiUaabIgM,SuuTm5Ic1z,,,CMdnMLaaW4,5Lox6JSdzD,KKO9rzyHLL,RQRSPDf1MD,cQOqjfpJBD,8iiUaabIgM,5Lox6JSdzD,gDKlZubk20,5eggge3kdl,Adzp9IKmuu,zYCPR46vzU,cQOqjfpJBD,22,23,19,24,19,21,22,23,21,24,20,22,22,22,22,22,5,2,4,3,3,5,3,3,4,3,4,2,2,3,33,Ceramics Club,Stanford Kayak Club,,,,,16,15
