,Dorm,Network,PID,In_degree,Out_degree,Degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reaching_centrality
0,Alondra,CloseFrds,1PyAtD1gRL,6,6,0.206896552,0.103448276,0.103448276,0.068501464,0.206896552,0.081433523,0.080305109,14.86666667,0.879310345
1,Alondra,CloseFrds,1zOMoNHmg9,1,6,0.120689655,0.017241379,0.103448276,0.013591781,0.108512177,0.00402803,0.004335552,7.73968254,0.879310345
2,Alondra,CloseFrds,3hqUkuC5Qn,3,2,0.086206897,0.051724138,0.034482759,0.022555858,0.155172414,0.056140351,0.057017544,11.23333333,0.879310345
3,Alondra,CloseFrds,6jHJKaD4Cb,3,6,0.155172414,0.051724138,0.103448276,0.021275019,0.141065831,0.013100792,0.012845692,10.45,0.879310345
4,Alondra,CloseFrds,7mbIhjLfDt,3,6,0.155172414,0.051724138,0.103448276,0.03459746,0.170519136,0.059546648,0.057965676,11.95,0.879310345
5,Alondra,CloseFrds,7WTyBtV0WF,2,2,0.068965517,0.034482759,0.034482759,0.053679212,0.136116152,0.011262351,0.011645493,10.34404762,0.879310345
6,Alondra,CloseFrds,8FFaAiwKcb,2,6,0.137931034,0.034482759,0.103448276,0.014472418,0.136116152,0.064226659,0.062210123,9.783333333,0.879310345
7,Alondra,CloseFrds,8Ji9r6ATyR,2,5,0.120689655,0.034482759,0.086206897,0.084511818,0.138546798,0.010208711,0.010327543,10.59404762,0.879310345
8,Alondra,CloseFrds,AokPyCa4Vf,4,6,0.172413793,0.068965517,0.103448276,0.204929195,0.158339198,0.024346666,0.02428533,12.07619048,0.879310345
9,Alondra,CloseFrds,B4GwtIPWEA,3,5,0.137931034,0.051724138,0.086206897,0.154661806,0.129310345,0.016154971,0.016109959,10.51468254,0.879310345
10,Alondra,CloseFrds,DFZonvMbYz,3,4,0.120689655,0.051724138,0.068965517,0.088566095,0.138546798,0.008691268,0.008645896,11.01071429,0.879310345
