,Dorm,Network_Type,Avg_Path,Density
1,Alondra,CloseFrds,3.497487437,0.049678551
2,Alondra,EmpSupp,3.533424284,0.045790934
3,Alondra,Gossip,1.983957219,0.033163265
4,Alondra,Liked,1.875802998,0.06292517
5,Alondra,NegAffPres,1.317460317,0.040719697
6,Alondra,NegEmoSupp,1.683908046,0.032428356
7,Alondra,Persuasive,1.740963855,0.034131206
8,Alondra,PosAffPres,3.393382353,0.047169811
9,Alondra,PosEmoSupp,2.482029598,0.037280702
10,Alondra,Responsive,2.968176255,0.049773756
11,Alondra,SocAdvice,2.209302326,0.046003017
12,Alondra,SpendTime,4.187165775,0.043557169
13,Cedro,CloseFrds,4.179728318,0.030697563
14,Cedro,EmpSupp,4.034597472,0.03046953
15,Cedro,Gossip,5.235294118,0.024383247
16,Cedro,Liked,2.590522479,0.041247485
17,Cedro,NegAffPres,1.650793651,0.020568663
18,Cedro,NegEmoSupp,2.878581173,0.026851852
19,Cedro,Persuasive,2.737127371,0.022153209
20,Cedro,PosAffPres,3.922134733,0.027666399
21,Cedro,PosEmoSupp,4.026153846,0.027560084
22,Cedro,Responsive,4.127114548,0.029411765
23,Cedro,SocAdvice,3.838318513,0.02745098
24,Cedro,SpendTime,3.732776618,0.029366701
25,FroSoCo,CloseFrds,3.834947538,0.015886647
26,FroSoCo,EmpSupp,2.313787639,0.015137401
27,FroSoCo,Gossip,2.669811321,0.01315334
28,FroSoCo,Liked,2.705274043,0.02288188
29,FroSoCo,NegAffPres,2.488505747,0.025439408
30,FroSoCo,NegEmoSupp,3.485393258,0.014375562
31,FroSoCo,Persuasive,2.583732057,0.014774115
32,FroSoCo,PosAffPres,2.470974808,0.018178893
33,FroSoCo,PosEmoSupp,2.274310595,0.014670275
34,FroSoCo,Responsive,2.997742664,0.016094584
35,FroSoCo,SocAdvice,2.754037267,0.014361198
36,FroSoCo,SpendTime,4.354093224,0.014980633
37,JRo,CloseFrds,4.694718763,0.035703791
38,JRo,EmpSupp,4.49014276,0.031167691
39,JRo,Gossip,3.569390402,0.027192982
40,JRo,Liked,2.192607004,0.037995338
41,JRo,NegAffPres,1.3125,0.028658537
42,JRo,NegEmoSupp,3.836,0.026799687
43,JRo,Persuasive,4.587837838,0.024858757
44,JRo,PosAffPres,4.096194955,0.034414414
45,JRo,PosEmoSupp,3.74047619,0.030802531
46,JRo,Responsive,3.698113208,0.033320992
47,JRo,SocAdvice,3.591798695,0.030630631
48,JRo,SpendTime,4.191863385,0.035215839
49,Larkin,CloseFrds,3.95317131,0.034404414
50,Larkin,EmpSupp,3.596994536,0.032242063
51,Larkin,Gossip,2.854469854,0.024423338
52,Larkin,Liked,2.407643312,0.032242063
53,Larkin,NegAffPres,1.071428571,0.01884058
54,Larkin,NegEmoSupp,1.985714286,0.02464948
55,Larkin,Persuasive,2.562015504,0.023060797
56,Larkin,PosAffPres,4.198083067,0.026842105
